buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
10,3.0,0.28632696881031794,0.0009581826285957751,0.28632696881031794,0.0009581826285957751,0.17714973646783558,0.04377004328797757,-0.3754071986671586,1.0773823528922834e-05,-0.6189532573337175,4.2092840718841e-15,0.4709280298064858,1.5642148480235904e-08
10,6.0,0.1970609844109975,0.02462573052457511,0.1970609844109975,0.02462573052457511,0.24098920202301394,0.005745011204004143,-0.30893985267278123,0.0003484483366778432,-0.5873503999521232,2.0546149744048955e-13,0.4249759343398691,4.663104158690875e-07
10,12.0,0.5224756259910651,1.8191545225819858e-10,0.5224756259910651,1.8191545225819858e-10,0.2976989711683072,0.0005820546320790096,-0.18761208790456357,0.03256019885265007,-0.49666940300861867,1.8553170899925465e-09,0.28200582911477556,0.0011518498910121464
10,24.0,0.26523673919249735,0.002114928934228774,0.26523673919249735,0.002114928934228774,-0.010946286409103242,0.9008633295129821,-0.3381789299624787,7.311213067046745e-05,-0.5378736376832585,2.917437487269192e-11,0.35351677776050233,3.2097991837592086e-05
10,36.0,0.12218228639311775,0.1518938104538478,0.12218228639311775,0.1518938104538478,-0.056216320917235094,0.5109779613935546,-0.19300184526377062,0.022824671788705703,-0.2921720208008369,0.000482979216730055,0.15715408042081297,0.06466229609754742
25,3.0,0.3025559061172634,0.00046749452713801785,0.3025559061172634,0.00046749452713801785,0.22569996416626026,0.009825052163937172,-0.34117646084636527,7.118128997496671e-05,-0.6032788519697632,3.0545991627973975e-14,0.46213246231619065,3.115643296843762e-08
25,6.0,0.22367032262122397,0.01052462426676691,0.22367032262122397,0.01052462426676691,0.2876518357677104,0.0009050717510192897,-0.26567816606613337,0.0022503045770942247,-0.5539309724124548,8.131020843588355e-12,0.4022583207756651,2.093984644105096e-06
25,12.0,0.5445421729638819,2.1267943295071984e-11,0.5445421729638819,2.1267943295071984e-11,0.327411502911725,0.00014332205517590639,-0.1561758632743114,0.07599942548469583,-0.47435973611990917,1.1891438427788687e-08,0.2747918158864417,0.001556230674967773
25,24.0,0.28579853583224313,0.0008940233306676493,0.28579853583224313,0.0008940233306676493,0.02666510150527438,0.7615097420859758,-0.3109032370341459,0.0002852063843794168,-0.5185356332546853,1.9059679594417054e-10,0.3391600512234615,6.945010830570483e-05
25,36.0,0.1385665160296073,0.10378375059127053,0.1385665160296073,0.10378375059127053,-0.035351679330232505,0.6794925945386039,-0.17631594200467793,0.03787011586138585,-0.2816201478680077,0.0007836346285252212,0.1556188968746771,0.06735273461724726
50,3.0,0.31264674846903184,0.0002928828022901127,0.31264674846903184,0.0002928828022901127,0.23876834256660143,0.006223429411336411,-0.31477746233865267,0.0002647781703912735,-0.5846678858239596,2.803661034281124e-13,0.4568612555968932,4.665442059578636e-08
50,6.0,0.24571501611845503,0.004834504288279996,0.24571501611845503,0.004834504288279996,0.2972755600788312,0.0005931764102133885,-0.23834219979267726,0.006319180279547821,-0.5481862400178232,1.469562965113344e-11,0.4004745064714061,2.3452595447557906e-06
50,12.0,0.5590064421172696,4.774557436210421e-12,0.5590064421172696,4.774557436210421e-12,0.3353716313938726,9.600413462061091e-05,-0.1437330406126153,0.1027924857493984,-0.4756463594950265,1.0721533521621242e-08,0.28716325639591767,0.00092433572818132
50,24.0,0.295596701616792,0.0005794096461713768,0.295596701616792,0.0005794096461713768,0.03447493111729965,0.69473591830072,-0.3004396831603666,0.00046494104046960886,-0.5090140601660518,4.602591759621323e-10,0.3450576663571867,5.080957859740743e-05
50,36.0,0.14798320229367806,0.08211808655836805,0.14798320229367806,0.08211808655836805,-0.028674636483283406,0.7375609244514315,-0.17797849885813516,0.036068635013724704,-0.27692521245253243,0.0009661453038501494,0.1716880451720034,0.043287508642274784
100,3.0,0.307959177955866,0.00036469803106944253,0.307959177955866,0.00036469803106944253,0.19052133184193046,0.029914112772914395,-0.33794760982855526,8.413005378438361e-05,-0.6068163833302235,1.971602003668369e-14,0.459080173242157,3.939504970277152e-08
100,6.0,0.2260141078778069,0.009720515358340894,0.2260141078778069,0.009720515358340894,0.23080275071555736,0.00824400320330969,-0.2683142415586771,0.0020252246172129352,-0.5644725426981816,2.6638586029450743e-12,0.423965160793745,4.997183800951795e-07
100,12.0,0.5322932998980102,7.135885502254806e-11,0.5322932998980102,7.135885502254806e-11,0.2761924195073778,0.0014688384431470133,-0.2042207293498132,0.019774244669949783,-0.5100054864848866,5.724484077151735e-10,0.31244776217677067,0.0002956437776162019
100,24.0,0.2792672950975624,0.0011836574589210846,0.2792672950975624,0.0011836574589210846,-0.0027085209279259035,0.9754110040498585,-0.32799718751472645,0.00012337111303574756,-0.5240935808235507,1.1248245318736972e-10,0.3754798034352155,9.150222309637774e-06
100,36.0,0.11796332491552741,0.1666519678594066,0.11796332491552741,0.1666519678594066,-0.0661313273134577,0.4392363354386366,-0.2030531634450213,0.01651306923147039,-0.3054456601953742,0.00025576959487826604,0.19682527910283684,0.020214303249388336
150,3.0,0.30367043337214195,0.00044432483982351147,0.30367043337214195,0.00044432483982351147,0.16002480666187008,0.0689602007651571,-0.35410825502429494,3.5774378790612165e-05,-0.6280033279107097,1.2734265374931922e-15,0.46622636109442017,2.266257304564982e-08
150,6.0,0.21115374447942561,0.015885893968503484,0.21115374447942561,0.015885893968503484,0.19869999507993663,0.02343334569115204,-0.29118117207482597,0.0007764733224864206,-0.5792427605097711,5.21185963317188e-13,0.4336763968323001,2.546434400422324e-07
150,12.0,0.5099617795337149,5.747066244754132e-10,0.5099617795337149,5.747066244754132e-10,0.24395034796489726,0.005158190822247279,-0.23102128547141593,0.008181628376273137,-0.5272342202998849,1.1601207332541927e-10,0.3096528223137697,0.00033705751007130034
150,24.0,0.27066160914351656,0.0016958797761451494,0.27066160914351656,0.0016958797761451494,-0.012900700835901412,0.8832787224623209,-0.34971232350913817,3.952684846184824e-05,-0.5227601952800341,1.2776409622259626e-10,0.3826007606725082,5.970737718697804e-06
150,36.0,0.10107630590803265,0.23643453192129704,0.10107630590803265,0.23643453192129704,-0.07772676751855102,0.36309323349865086,-0.2091335629050442,0.013482311735050254,-0.3156131785868128,0.0001539408443759041,0.20658609675861786,0.014687217378802941
200,3.0,0.2976252156882049,0.0005839780696031028,0.2976252156882049,0.0005839780696031028,0.14510161452117948,0.09952438247029792,-0.3734349224955353,1.2083559555225838e-05,-0.6431505181761553,1.5738161147446885e-16,0.46845961143134224,1.9016553575057637e-08
