buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.18094116466806145,3.153054715432238e-13,0.18094116466806145,3.153054715432238e-13,0.2276861892001722,3.085727891113074e-20,0.28688397721362,1.1856086203687572e-31,-0.5640913285862807,6.415106792877253e-135,-0.544294782828774,6.315587088122203e-124,-0.41401561426679145,3.292711140244389e-67,-0.3194555851953398,3.0766863759182096e-39
25,6,0.1657636921261054,2.6038709256135277e-11,0.1657636921261054,2.6038709256135277e-11,0.13809875650116893,2.977516984476807e-08,0.17245214143178125,3.908865002939529e-12,-0.6442604532180862,4.354252502107974e-188,-0.6206570619274862,8.0933550225714e-171,-0.46364696439706127,5.663313088882573e-86,-0.3454275472580877,5.30653618442489e-46
25,12,0.159917527531991,1.2834771060947072e-10,0.159917527531991,1.2834771060947072e-10,0.1099454709251251,1.0578876685822032e-05,0.14519694900750293,5.52190586390886e-09,-0.56060597896403,6.2623836423566165e-133,-0.5334162745205132,3.428885926097919e-118,-0.3878554597762646,1.623089859491289e-58,-0.30717093484396557,2.9058486958879386e-36
25,24,0.1127042708482426,6.295247033044167e-06,0.1127042708482426,6.295247033044167e-06,0.09480869862358117,0.00014730848633708982,0.12239533186764086,9.229891019504655e-07,-0.4447201859088429,1.9014438756410473e-78,-0.41820549230586984,1.1264177188123795e-68,-0.3022832690065912,4.0568525621100845e-35,-0.24747891424319426,9.980514413878458e-24
25,36,0.08642855882309441,0.0005426863507385956,0.08642855882309441,0.0005426863507385956,0.07999752383418139,0.0013717585498423006,0.10054464761362848,5.665347578200629e-05,-0.35535851309106803,9.184072124255818e-49,-0.3324052272699099,1.5762768120551556e-42,-0.24410176217323587,4.143318885996225e-23,-0.19636607113487348,2.3593661991518604e-15
50,3,0.1734763538653702,2.904023231776466e-12,0.1734763538653702,2.904023231776466e-12,0.21321928580489757,6.931415399886912e-18,0.2754209794703467,3.289115830436084e-29,-0.5651842840170042,1.5080511018438232e-135,-0.5454777926380662,1.458828964803188e-124,-0.4134867289800639,5.024696085810098e-67,-0.3212525363589487,1.0990906743609248e-39
50,6,0.1584149372943495,1.9159591697957966e-10,0.1584149372943495,1.9159591697957966e-10,0.12309137655714053,7.994332308428615e-07,0.15978730734805383,1.3290245040009874e-10,-0.6436950301274672,1.1762606978930503e-187,-0.6193636265199541,6.486323687291889e-170,-0.4616107786108742,3.85212628738398e-85,-0.34656014414479624,2.5992403515153247e-46
50,12,0.15374702995632342,6.492161898231961e-10,0.15374702995632342,6.492161898231961e-10,0.09406600598873914,0.00016608474932346137,0.1320772544479437,1.165122411346442e-07,-0.5564683613515793,1.3430841134444243e-130,-0.5293869860089341,4.0418750601616576e-116,-0.38597996828969067,6.36747911318525e-58,-0.30828969460190286,1.5780586294298436e-36
50,24,0.10871733528915024,1.327701437421002e-05,0.10871733528915024,1.327701437421002e-05,0.08435892072006299,0.0007364774341646328,0.11349575083774052,5.4121054277950706e-06,-0.43856635514043935,4.220820099637511e-76,-0.4123060895034968,1.287291062813491e-66,-0.30247137035992494,3.6688632371020957e-35,-0.24868270325591219,5.977453231898197e-24
50,36,0.08278572997507352,0.0009248052363186631,0.08278572997507352,0.0009248052363186631,0.07199249527039218,0.003984525876610455,0.09414463185418569,0.00016399537129805115,-0.35085206425372617,1.6927413779567348e-47,-0.3289628588689942,1.2246167722420442e-41,-0.24560216833540013,2.2072835083714906e-23,-0.1974494430179179,1.6468384063471735e-15
