buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.02763031687190267,0.5236572469312271,0.02763031687190267,0.5236572469312271,-0.23067393687780896,6.815707038451899e-08,-0.19077750322588558,8.861067669543683e-06,-0.40195697167405087,3.420301947464738e-22,-0.3822371474840355,4.684653372814486e-20,-0.3155945008952391,7.749290826396602e-14,-0.2782154483856515,5.7597668254301575e-11
25,6,-0.009322071634395131,0.8296733806202136,-0.009322071634395131,0.8296733806202136,-0.5374999386933259,2.210741749996674e-41,-0.510515751387198,7.591731278629932e-37,-0.465107995942715,4.519621419129363e-30,-0.43735150178887927,2.1033679667136058e-26,-0.3254519238308604,1.1513956876679436e-14,-0.2922417822722182,5.392393423913151e-12
25,12,-0.018651549326642855,0.6668756220977772,-0.018651549326642855,0.6668756220977772,-0.3023038785649197,9.080496594982814e-13,-0.2799634854598245,4.3185162915406e-11,-0.35805405665133067,1.2583564145469657e-17,-0.3491992328150007,8.686042519161134e-17,-0.3089063987332528,2.715685961865472e-13,-0.2714001053904053,1.736424242282119e-10
25,24,0.04443764023677579,0.3049159260839048,0.04443764023677579,0.3049159260839048,-0.21193994127750546,7.535553887006227e-07,-0.1948067905526095,5.654550999104771e-06,-0.3013311771147878,1.0819935372705823e-12,-0.2934380827910304,4.379038849950854e-12,-0.2444315562085222,1.0186142590120479e-08,-0.19785233387299586,4.001677161231616e-06
25,36,0.05613635110301047,0.19482978720679292,0.05613635110301047,0.19482978720679292,-0.15149569400474494,0.0004377304187644838,-0.1358164817484344,0.001639995277009167,-0.25463453249100565,2.305148859475752e-09,-0.24666075524069547,7.403674237479692e-09,-0.19309442376900895,6.851762409128272e-06,-0.15059184146279822,0.0004740565392592596
50,3,0.05930042278219325,0.17080552727207804,0.05930042278219325,0.17080552727207804,-0.19736407489926627,4.231280814128736e-06,-0.15320049798852775,0.00037616571384371957,-0.40860776836764534,6.032724211472648e-23,-0.38743843366955955,1.3214559899152646e-20,-0.3136223721376452,1.12534884158328e-13,-0.2775978375024577,6.373584703407327e-11
50,6,-0.02481695533970779,0.5668048691169557,-0.02481695533970779,0.5668048691169557,-0.5642956829718713,2.604651625681286e-46,-0.5369664674149914,2.7429712322387577e-41,-0.48043222683348774,3.028777085187534e-32,-0.45097994135886443,3.665353063316775e-28,-0.32549953420276995,1.1406466800436419e-14,-0.2879165066613798,1.135300840880124e-11
50,12,-0.0010341834859558642,0.9809604598147659,-0.0010341834859558642,0.9809604598147659,-0.3228616844860342,1.9132045631098513e-14,-0.2910456518062036,6.6335832040233325e-12,-0.35814214563573604,1.2340245341316719e-17,-0.34814961024547914,1.087757613051037e-16,-0.30230607295243156,9.076900271580935e-13,-0.264188097590925,5.400242188376805e-10
50,24,0.0647266728731763,0.1348625785038793,0.0647266728731763,0.1348625785038793,-0.21125717327738064,8.192711601802168e-07,-0.18863276373146218,1.1211874682516347e-05,-0.2987706795578457,1.7109046142021583e-12,-0.29005425887672937,7.870374731377144e-12,-0.2375543306727911,2.6730715211230447e-08,-0.1915691360269415,8.118525681642438e-06
50,36,0.06755312235945989,0.11860949155295418,0.06755312235945989,0.11860949155295418,-0.1471116996109222,0.0006417342184698202,-0.12853781592800334,0.0028966419792990803,-0.25575359175108175,1.95065960049598e-09,-0.24544674953523934,8.81200845046126e-09,-0.18870553118877573,1.1123200377204043e-05,-0.14590995896423778,0.0007114026234848871
100,3,0.051293494606257144,0.23624417536468906,0.051293494606257144,0.23624417536468906,-0.208916036100644,1.0890056721049083e-06,-0.16678544166318812,0.00010622432667447918,-0.3998339409417986,5.902766066455726e-22,-0.38068301171423796,6.807741949190407e-20,-0.3105565245348688,1.998880435637886e-13,-0.2745915027497024,1.0396659389313264e-10
100,6,-0.007584430208916697,0.861063466125698,-0.007584430208916697,0.861063466125698,-0.5592341714337556,2.406003402291366e-45,-0.5312434264130267,2.7089569413328786e-40,-0.46705598508540364,2.4256440265306214e-30,-0.4395318217093881,1.1139221912643678e-26,-0.32340715286064137,1.7198689837749804e-14,-0.2877768489441847,1.1626771529877748e-11
100,12,-0.0032338218536675377,0.9405140689009216,-0.0032338218536675377,0.9405140689009216,-0.3067398329201845,4.0491364188791084e-13,-0.27797301924458456,5.993505383018212e-11,-0.35483379297764717,2.5585419610800406e-17,-0.3448285614882144,2.2043476910118462e-16,-0.301889766293035,9.78473923526856e-13,-0.26259045856094004,6.911757896910355e-10
100,24,0.0593599063579617,0.17037609085361788,0.0593599063579617,0.17037609085361788,-0.20965609328902543,9.956578511674738e-07,-0.18926451222193583,1.0463948905804799e-05,-0.297647452874224,2.088825370061159e-12,-0.2893133648682865,8.939088470654618e-12,-0.2387509529823276,2.2647537028831632e-08,-0.1905977668454526,9.038451572225167e-06
100,36,0.06027222296602568,0.1638904123300921,0.06027222296602568,0.1638904123300921,-0.1477399214071803,0.0006078861502622119,-0.1302983024949001,0.002530736745630271,-0.2546257549409582,2.3081626702291536e-09,-0.24600149853534076,8.138906360856142e-09,-0.19303885874236887,6.894398950469298e-06,-0.15019920284013688,0.0004906943222117528
150,3,0.06388810335970797,0.140000893983702,0.06388810335970797,0.140000893983702,-0.19001722632400184,9.634795325486451e-06,-0.14719257846493145,0.0006372805627804784,-0.40009628780594203,5.519027431775831e-22,-0.381137524227636,6.104082805215869e-20,-0.3067240569209268,4.0608821636827325e-13,-0.27128315831020433,1.7691461095019736e-10
150,6,-0.010840783720072283,0.802456723596644,-0.010840783720072283,0.802456723596644,-0.5548779987387442,1.5816404154634132e-44,-0.5261253702109889,2.0243750703672264e-39,-0.4708808808895924,7.064112984176466e-31,-0.44185019211568893,5.637847913555317e-27,-0.32204471248751115,2.243266858508422e-14,-0.283032562602314,2.591832386754025e-11
150,12,0.013464722587402408,0.7560092527832225,0.013464722587402408,0.7560092527832225,-0.31036076824224235,2.0730958463009648e-13,-0.27679447640874,7.268173918627609e-11,-0.35135980324790267,5.451737787098756e-17,-0.341766528828334,4.196388711858879e-16,-0.29638146178330416,2.6130220250991915e-12,-0.25867401379141325,1.256892864064763e-09
150,24,0.08135397809109271,0.06004819015851208,0.08135397809109271,0.06004819015851208,-0.20156397585503882,2.606673117502974e-06,-0.17839516227871782,3.325102700569628e-05,-0.29263147477871077,5.03940882942228e-12,-0.28345274349160837,2.415671690447016e-11,-0.23066289560720107,6.825793060411572e-08,-0.18382318291944869,1.8823388648342034e-05
150,36,0.0745810010356761,0.08481087794585841,0.0745810010356761,0.08481087794585841,-0.13827501865705658,0.0013447975981556537,-0.11894297408878332,0.005878037386668237,-0.25003823110540857,4.538685390589965e-09,-0.24148231419658972,1.546171524317828e-08,-0.18868750586278532,1.1145103592106231e-05,-0.14566438349036367,0.0007264752199429644
200,3,0.0833799855469269,0.053925928476513015,0.0833799855469269,0.053925928476513015,-0.15772328739247687,0.0002497009093657617,-0.11221141609765344,0.009387907944917385,-0.40653748130666073,1.0396847539448585e-22,-0.38616301227192,1.806086980588753e-20,-0.30655684800082045,4.187443654514868e-13,-0.2679559553739649,2.9978503340637437e-10
200,6,-0.03622412615079273,0.4030529843500964,-0.03622412615079273,0.4030529843500964,-0.5288215279387547,7.046949472798901e-40,-0.4995387980849154,4.0958105492578576e-35,-0.4869680532956562,3.31261188008346e-33,-0.45685698134157354,6.03686176773417e-29,-0.32205994933437243,2.2366279846152627e-14,-0.27909562209410926,4.983558279520411e-11
200,12,0.025823865723730292,0.5511685038361025,0.025823865723730292,0.5511685038361025,-0.33656998408725525,1.2312523361538726e-15,-0.2931895292198188,4.572950932796406e-12,-0.3531602982014,3.687784412248298e-17,-0.3422200225189587,3.8164670582142937e-16,-0.29167877178887214,5.945397704737585e-12,-0.25345132242308716,2.747878501390397e-09
200,24,0.11042342131587561,0.010589904130332872,0.11042342131587561,0.010589904130332872,-0.20394806033022228,1.9709489141911417e-06,-0.17055614393293178,7.344685221654988e-05,-0.2875081284349771,1.217178729355962e-11,-0.2762359122350363,7.961155212924679e-11,-0.2231551511105546,1.8339133394201993e-07,-0.17758677255182018,3.6140053733040345e-05
200,36,0.09074376225442585,0.03587593664087558,0.09074376225442585,0.03587593664087558,-0.13504730974002926,0.0017438997806256784,-0.11196196126014225,0.009547970749505558,-0.24771359102050233,6.361140319803617e-09,-0.2376939000847859,2.622006642905025e-08,-0.18297955127496474,2.05863221000683e-05,-0.14076678486228725,0.0010961919246001745
500,3,0.09175184820318685,0.03385960169412007,0.09175184820318685,0.03385960169412007,-0.14061333447842078,0.0011101834309412185,-0.09073318217177928,0.03589762852870247,-0.40922337243571016,5.127475416449346e-23,-0.3889086613289675,9.202453777314813e-21,-0.30581381031319044,4.798165822169137e-13,-0.26697727958828127,3.4961168627919874e-10
500,6,-0.03577929245374169,0.4088572916579549,-0.03577929245374169,0.4088572916579549,-0.49990161654870985,3.5982508227952474e-35,-0.465728733310138,3.70822463448125e-30,-0.4950286655946508,2.0228132086773662e-34,-0.462590328127746,1.0042747970822576e-29,-0.3219490802941601,2.2853784996177258e-14,-0.2772783427553053,6.715699776707261e-11
