buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
10,3,0.3408916758850604,1.2794174630203424e-21,0.3408916758850604,1.2794174630203424e-21,0.44509602568502954,2.4378085522147877e-37,0.48419423913991183,8.12893472048913e-45,-0.6986889647055278,1.3986350064099062e-109,-0.6795334464993745,1.69238647603004e-101,-0.5506946501789806,5.48030627187724e-60,-0.45684126683023435,1.744906595052261e-39
10,6,0.3190839876221673,5.336739810988143e-19,0.3190839876221673,5.336739810988143e-19,0.32237590836803137,2.214192995147915e-19,0.3492405747722161,1.1145969772492165e-22,-0.7612902146031121,3.491961602138737e-141,-0.7468765402219747,4.374891702803626e-133,-0.600687230898459,7.315797393096627e-74,-0.4785259758841523,1.1347219805948527e-43
10,12,0.31618467708307635,1.1478113961787151e-18,0.31618467708307635,1.1478113961787151e-18,0.3650864070705971,8.832234756700549e-25,0.38332731942352605,2.3853277535235238e-27,-0.7809881336205486,3.136872023035626e-153,-0.7670039370237274,1.4853472694244174e-144,-0.6099352902580933,1.0517454858883325e-76,-0.47799406313136766,1.4495261082644184e-43
10,24,0.22534470616627197,5.511960804075031e-10,0.22534470616627197,5.511960804075031e-10,0.30955073992698257,6.415989052930484e-18,0.33164862026623376,1.751611649083456e-20,-0.6790807913860915,2.5824792305058155e-101,-0.6560001685594834,2.2432083889828254e-92,-0.4812946112636878,3.1504386204234795e-44,-0.39588397976182904,3.255365389612882e-29
10,36,0.1652439628479782,6.1349629499107695e-06,0.1652439628479782,6.1349629499107695e-06,0.23406424218398506,1.1141148537254389e-10,0.2535290696291624,2.47870100837823e-12,-0.5774458110437387,4.097470447558969e-67,-0.5548631808814078,4.683737337164955e-61,-0.3946649577558815,4.9796567623194804e-29,-0.32823425976223397,4.503508436734397e-20
25,3,0.32256276799805134,2.1056524222602964e-19,0.32256276799805134,2.1056524222602964e-19,0.41757850821770964,1.2470331801721948e-32,0.4637436316593531,8.740348851113505e-41,-0.6960432736058721,1.9957366310078244e-108,-0.677121328613534,1.5949007523625606e-100,-0.5476127252459653,3.303254259253636e-59,-0.4551696336707078,3.5663097009122514e-39
25,6,0.3009591491503754,5.589617344033999e-17,0.3009591491503754,5.589617344033999e-17,0.2966666423499887,1.6049725966723985e-16,0.3276116352722835,5.342929062321088e-20,-0.7607017638244296,7.67145909802342e-141,-0.7435913293752233,2.571083312776241e-131,-0.5945040957335325,5.169225217911368e-72,-0.47687144386458563,2.4268325777661274e-43
25,12,0.3017699409157056,4.5707971449744237e-17,0.3017699409157056,4.5707971449744237e-17,0.34634428737448375,2.620795316612509e-22,0.36789785479888704,3.6374864301267903e-25,-0.7808463851584104,3.869274468696489e-153,-0.7651048438633837,2.0091097825522563e-143,-0.6040798635732586,6.79781475533733e-75,-0.47774516273451695,1.6252508515946664e-43
25,24,0.2092901886319654,8.853462111958909e-09,0.2092901886319654,8.853462111958909e-09,0.2863176036459588,1.8990950639828752e-15,0.311505075465517,3.881892126358881e-18,-0.6691972573174028,2.1805266870645035e-97,-0.6455954891539899,1.3429034156779956e-88,-0.477495525318084,1.8227237111596544e-43,-0.402801222232803,2.8210721692462893e-30
25,36,0.15433887259241072,2.4482102448139887e-05,0.15433887259241072,2.4482102448139887e-05,0.216255830756731,2.7252638462515303e-09,0.23706555793662254,6.329929500750465e-11,-0.5671024351233538,2.788534122900827e-64,-0.5440288173067132,2.6061812858215483e-58,-0.3958397504964735,3.306061850648629e-29,-0.33415511906783174,8.69088501593166e-21
50,3,0.30672401427455864,1.3183096292381264e-17,0.30672401427455864,1.3183096292381264e-17,0.39592249316882927,3.211848051520616e-29,0.44491566949568817,2.6259876643809404e-37,-0.6916793616812996,1.5028259663342572e-106,-0.6734474597643223,4.664295609381328e-99,-0.5440965116834973,2.5070367677580412e-58,-0.45394431456548595,6.007419143022061e-39
50,6,0.28509228758576377,2.527516427347961e-15,0.28509228758576377,2.527516427347961e-15,0.2765325209020919,1.7906873794862292e-14,0.310819073076655,4.6326328730658235e-18,-0.7595471597779623,3.570067275471819e-140,-0.7412018679394929,4.785713862853811e-130,-0.5879628289203512,4.2317510409863006e-70,-0.4752160027222407,5.170928330819215e-43
50,12,0.2871741554485357,1.5538142666888263e-15,0.2871741554485357,1.5538142666888263e-15,0.33043206394246294,2.455601299603257e-20,0.35437410475151854,2.3955498401480088e-23,-0.7788029185644075,7.832202183822329e-152,-0.7619535655523315,1.4340478314560583e-141,-0.5973752143540009,7.240621078059433e-73,-0.4780105503125312,1.4385760946577565e-43
50,24,0.19731539298749723,6.113663323398988e-08,0.19731539298749723,6.113663323398988e-08,0.2687957417784016,9.9166466999282e-14,0.298147362240372,1.117678039804467e-16,-0.6615973305294784,1.803794976583701e-94,-0.6372454546223096,1.1332107121744974e-85,-0.47427633688172455,7.929578883733294e-43,-0.40583955307809944,9.45990758792622e-31
50,36,0.14361556898819322,8.739532453675692e-05,0.14361556898819322,8.739532453675692e-05,0.20169635247992557,3.056207058750907e-08,0.22432210279444048,6.620729283843942e-10,-0.5613360067713645,9.586573769859307e-63,-0.5370508908536592,1.354769660399932e-56,-0.3973356745868658,1.9577566331427277e-29,-0.33859306115355636,2.473016570374855e-21
100,3,0.3023971468919017,3.910211356043512e-17,0.3023971468919017,3.910211356043512e-17,0.39254968495783543,1.036802711963035e-28,0.4446191361959927,2.967190107616321e-37,-0.6792838479889394,2.136706067637154e-101,-0.6609152607146512,3.2648352140303367e-94,-0.5322295948180129,1.968614139442818e-55,-0.4476967186647038,8.301965321913445e-38
100,6,0.27796950109847807,1.2951783664571132e-14,0.27796950109847807,1.2951783664571132e-14,0.27012986143344214,7.411003470888165e-14,0.30771113628976254,1.0260915863037485e-17,-0.7488332647795337,3.751174148510652e-134,-0.7281350104071018,2.4167289999881493e-123,-0.5716820919302397,1.5977129709991259e-65,-0.4687356958782735,9.603832921294734e-42
100,12,0.28272412086282234,4.374272164629896e-15,0.28272412086282234,4.374272164629896e-15,0.32432015693734995,1.3102122280368204e-19,0.35073117517338104,7.153235465998234e-23,-0.7700251465212073,2.2379787081703046e-146,-0.749947860130851,9.163480582766673e-135,-0.5839645296945596,5.95074594919457e-69,-0.4730522886506323,1.381220077908925e-42
100,24,0.19455171089267226,9.39256758800023e-08,0.19455171089267226,9.39256758800023e-08,0.2656988357707101,1.9376668722057557e-13,0.2976013091758641,1.2775451361505364e-16,-0.6478114518024801,2.167657046335812e-89,-0.6226811096104912,8.856323077395946e-81,-0.46578095561019456,3.5647394701497884e-41,-0.40480702792396855,1.3730840685456794e-30
100,36,0.14067825535017076,0.00012198392432002124,0.14067825535017076,0.00012198392432002124,0.19889303036572617,4.7713896966384276e-08,0.22370501328152229,7.391879672902084e-10,-0.5493604146989206,1.1954765179591289e-59,-0.5229034887602554,3.0899868238075106e-53,-0.3966362081535276,2.5020897949651e-29,-0.33965273857699213,1.8263248361383493e-21
150,3,0.2761133217983946,1.9674628751722684e-14,0.2761133217983946,1.9674628751722684e-14,0.3551374700650971,1.9013521747800368e-23,0.41291428775350125,7.108983470513729e-32,-0.6701012994383767,9.676482940211528e-98,-0.64989643648269,3.8431921374921018e-90,-0.5219187579571641,5.222086969286512e-53,-0.44360124374090765,4.508773839095297e-37
