buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
25,3.0,0.4487770862836119,5.934821226131563e-88,0.4487770862836119,5.934821226131563e-88,0.4986859218180646,2.6732776735519154e-111,0.20579643813931142,2.7570334833257502e-18,-0.10602847883861194,8.290017102069518e-06,-0.058979920065270496,0.013333207219785346
25,6.0,0.23606983845091684,1.0285209927728114e-23,0.23606983845091684,1.0285209927728114e-23,0.4800261441588758,4.0909154445455275e-102,0.2829704967479111,9.211611352369413e-34,0.0923257886331252,0.00010496472933447182,-0.17740215875108756,6.54509155876813e-14
25,12.0,0.24490301630162525,3.837402827603888e-26,0.24490301630162525,3.837402827603888e-26,0.3914550365833833,2.1865355193143382e-67,0.2139770474151646,3.3687657463848657e-20,0.06063108115862142,0.009857168814263094,-0.11255708684153999,1.571506196414491e-06
25,24.0,0.18687011592339683,5.837313668514977e-16,0.18687011592339683,5.837313668514977e-16,0.23416577941134314,2.1207908773080772e-24,0.10889174256569259,2.75815751676856e-06,0.02629349543310383,0.25897106222527067,-0.04008960615647232,0.08515787498505796
25,36.0,0.16004061519738,2.4271977429172166e-12,0.16004061519738,2.4271977429172166e-12,0.15374279979568947,1.7166619465520857e-11,0.07473985582286279,0.0011301239576841948,0.018989636970069907,0.4087029666764612,-0.015187411178786442,0.5087828234111516
50,3.0,0.4421305625590949,3.980739176810869e-85,0.4421305625590949,3.980739176810869e-85,0.49269182350187085,2.7527017375933683e-108,0.19792142860504808,5.27464847380351e-17,-0.11340520180497674,1.8456555467102838e-06,-0.05475211816465659,0.021614693866855116
50,6.0,0.22745473156712573,4.355363068128967e-22,0.22745473156712573,4.355363068128967e-22,0.4757737407760842,4.2316969693035374e-100,0.2772578511731276,1.9899244582777407e-32,0.08550201140573613,0.00032936140884712393,-0.1765188532909418,8.733940329805578e-14
50,12.0,0.24138449833985498,2.016332199890501e-25,0.24138449833985498,2.016332199890501e-25,0.3901292440482978,6.631850255746201e-67,0.21133952101655398,9.86879393661222e-20,0.059479687474700206,0.011351030439912278,-0.11449750760137671,1.0329904182534505e-06
50,24.0,0.1864963016347504,6.68236941825784e-16,0.1864963016347504,6.68236941825784e-16,0.23776392979974442,3.984313552961704e-25,0.11096734412232787,1.7707912312155564e-06,0.02944595883173614,0.20615005179627108,-0.04419861547242339,0.05767967795643201
50,36.0,0.16161789490723844,1.4686476365678188e-12,0.16161789490723844,1.4686476365678188e-12,0.15970856359731692,2.6962584461858023e-12,0.07767000598298616,0.0007144286566654813,0.022350709200949434,0.330830924230054,-0.019181582649754586,0.40398196573855405
100,3.0,0.42657425164815116,9.429376234200406e-79,0.42657425164815116,9.429376234200406e-79,0.47572247489600866,4.473320723469477e-100,0.1669456555787122,1.8110961372945727e-12,-0.14742396659607301,5.15302909696445e-10,-0.036414128933572626,0.1267412368553397
100,6.0,0.19741870753522103,6.341955641453572e-17,0.19741870753522103,6.341955641453572e-17,0.45841682396593547,3.637890741390872e-92,0.2499054063219084,1.8195812433223636e-26,0.05011448349767485,0.0355315725415743,-0.15386708032698657,8.630563542825247e-11
100,12.0,0.2196803714355282,3.139102250933882e-21,0.2196803714355282,3.139102250933882e-21,0.3762902003363004,5.2618606485208705e-62,0.1899073702061341,3.6282498905451415e-16,0.03854630430594502,0.10103689757621528,-0.10060772079801149,1.79174662353055e-05
100,24.0,0.17581236814733942,2.8282170968589652e-14,0.17581236814733942,2.8282170968589652e-14,0.23261319874730652,4.325854857597754e-24,0.10144310102127913,1.2674803807658359e-05,0.022049930558072417,0.343845661953857,-0.04104821429072427,0.07794925205272914
100,36.0,0.15994848058446992,2.4990969873146344e-12,0.15994848058446992,2.4990969873146344e-12,0.16082965934485974,1.888979189107135e-12,0.07369859396613664,0.0013251939973107,0.02026923655995128,0.3778521742369092,-0.02086015850073037,0.36410249026155417
