buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
25,3.0,0.34731161595484505,0.3992638742032819,0.34731161595484505,0.3992638742032819,0.13173888881045848,0.7558326362593347,0.08383383833392813,0.8435464923328297,0.03592878785739777,0.932691474909088,-0.18408026012768097,0.6625673241051167
25,6.0,0.3233590907165799,0.4346394485508573,0.3233590907165799,0.4346394485508573,-0.011976262619132589,0.9775466547038871,-0.08383383833392813,0.8435464923328297,-0.08383383833392813,0.8435464923328297,-0.38554216867469876,0.3455490903397617
25,12.0,0.8263621207201486,0.01144276499994122,0.8263621207201486,0.01144276499994122,0.3113828280974473,0.45279875742633724,0.4431217169079058,0.2715023869225746,0.5628843430992317,0.1463315326055504,-0.790433332862751,0.019544537274857787
25,24.0,0.7185757571479554,0.04462261002441919,0.7185757571479554,0.04462261002441919,0.6586944440522925,0.0756896878416385,0.6586944440522925,0.0756896878416385,0.7784570702436182,0.022867333969736846,-0.790433332862751,0.019544537274857787
25,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.7784570702436182,0.022867333969736846,0.8982196964349441,0.002438796796382353,-0.4790505047653036,0.22974054535741797
50,3.0,0.34731161595484505,0.3992638742032819,0.34731161595484505,0.3992638742032819,0.08383383833392813,0.8435464923328297,0.011976262619132589,0.9775466547038871,0.03592878785739777,0.932691474909088,-0.18408026012768097,0.6625673241051167
50,6.0,0.34731161595484505,0.3992638742032819,0.34731161595484505,0.3992638742032819,-0.011976262619132589,0.9775466547038871,-0.08383383833392813,0.8435464923328297,-0.08383383833392813,0.8435464923328297,-0.3132530120481927,0.4499428842907729
50,12.0,0.8503146459584139,0.007471414639953453,0.8503146459584139,0.007471414639953453,0.34731161595484505,0.3992638742032819,0.4431217169079058,0.2715023869225746,0.5628843430992317,0.1463315326055504,-0.7545045450053531,0.03051275903330906
50,24.0,0.7425282823862205,0.034855039336664125,0.7425282823862205,0.034855039336664125,0.6586944440522925,0.0756896878416385,0.6586944440522925,0.0756896878416385,0.7784570702436182,0.022867333969736846,-0.6586944440522925,0.0756896878416385
50,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.7784570702436182,0.022867333969736846,0.8503146459584139,0.007471414639953453,-0.5269555552418339,0.17962896715692672
100,3.0,0.28743030285918214,0.4900154852220341,0.28743030285918214,0.4900154852220341,0.08383383833392813,0.8435464923328297,-0.05988131309566295,0.8879906501125185,-0.05988131309566295,0.8879906501125185,-0.09638554216867469,0.8203932868128063
100,6.0,0.22754898976351917,0.5878445645010817,0.22754898976351917,0.5878445645010817,0.011976262619132589,0.9775466547038871,-0.2155727271443866,0.6081490663684048,-0.13173888881045848,0.7558326362593347,-0.29940656547831473,0.4712605287015583
100,12.0,0.8503146459584139,0.007471414639953453,0.8503146459584139,0.007471414639953453,0.34731161595484505,0.3992638742032819,0.29940656547831473,0.4712605287015583,0.3952166664313755,0.33251710793382766,-0.29940656547831473,0.4712605287015583
100,24.0,0.6946232319096901,0.055884725588007014,0.6946232319096901,0.055884725588007014,0.7065994945288228,0.05006339467042151,0.7065994945288228,0.05006339467042151,0.730552019767088,0.039555627904297515,-0.7065994945288228,0.05006339467042151
100,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.4910267673844361,0.21660820414021398,0.7784570702436182,0.022867333969736846,-0.6347419188140272,0.09089043638915882
150,3.0,0.28743030285918214,0.4900154852220341,0.28743030285918214,0.4900154852220341,0.011976262619132589,0.9775466547038871,-0.05988131309566295,0.8879906501125185,-0.05988131309566295,0.8879906501125185,-0.09638554216867469,0.8203932868128063
150,6.0,0.15569141404872364,0.7127617079991629,0.15569141404872364,0.7127617079991629,-0.19162020190612142,0.6494102011224532,-0.3233590907165799,0.4346394485508573,-0.26347777762091695,0.5283664705769091,-0.09638554216867469,0.8203932868128063
150,12.0,0.8503146459584139,0.007471414639953453,0.8503146459584139,0.007471414639953453,0.29940656547831473,0.4712605287015583,0.203596464525254,0.6286746732890387,0.29940656547831473,0.4712605287015583,-0.203596464525254,0.6286746732890387
150,24.0,0.6227656561948945,0.09910080782353467,0.6227656561948945,0.09910080782353467,0.730552019767088,0.039555627904297515,0.5628843430992317,0.1463315326055504,0.467074242146171,0.24326991663399547,-0.5628843430992317,0.1463315326055504
150,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.4910267673844361,0.21660820414021398,0.6347419188140272,0.09089043638915882,-0.5389318178609664,0.16811803527951477
200,3.0,0.28743030285918214,0.4900154852220341,0.28743030285918214,0.4900154852220341,0.011976262619132589,0.9775466547038871,-0.05988131309566295,0.8879906501125185,-0.05988131309566295,0.8879906501125185,-0.09638554216867469,0.8203932868128063
200,6.0,0.15569141404872364,0.7127617079991629,0.15569141404872364,0.7127617079991629,-0.19162020190612142,0.6494102011224532,-0.3233590907165799,0.4346394485508573,-0.26347777762091695,0.5283664705769091,-0.09638554216867469,0.8203932868128063
200,12.0,0.8503146459584139,0.007471414639953453,0.8503146459584139,0.007471414639953453,0.29940656547831473,0.4712605287015583,0.203596464525254,0.6286746732890387,0.29940656547831473,0.4712605287015583,-0.203596464525254,0.6286746732890387
200,24.0,0.6227656561948945,0.09910080782353467,0.6227656561948945,0.09910080782353467,0.730552019767088,0.039555627904297515,0.5628843430992317,0.1463315326055504,0.467074242146171,0.24326991663399547,-0.5628843430992317,0.1463315326055504
200,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.4910267673844361,0.21660820414021398,0.6347419188140272,0.09089043638915882,-0.5389318178609664,0.16811803527951477
500,3.0,0.28743030285918214,0.4900154852220341,0.28743030285918214,0.4900154852220341,0.011976262619132589,0.9775466547038871,-0.05988131309566295,0.8879906501125185,-0.05988131309566295,0.8879906501125185,-0.09638554216867469,0.8203932868128063
500,6.0,0.15569141404872364,0.7127617079991629,0.15569141404872364,0.7127617079991629,-0.19162020190612142,0.6494102011224532,-0.3233590907165799,0.4346394485508573,-0.26347777762091695,0.5283664705769091,-0.09638554216867469,0.8203932868128063
500,12.0,0.8503146459584139,0.007471414639953453,0.8503146459584139,0.007471414639953453,0.29940656547831473,0.4712605287015583,0.203596464525254,0.6286746732890387,0.29940656547831473,0.4712605287015583,-0.203596464525254,0.6286746732890387
500,24.0,0.6227656561948945,0.09910080782353467,0.6227656561948945,0.09910080782353467,0.730552019767088,0.039555627904297515,0.5628843430992317,0.1463315326055504,0.467074242146171,0.24326991663399547,-0.5628843430992317,0.1463315326055504
500,36.0,0.8383383833392813,0.009323115735056045,0.8383383833392813,0.009323115735056045,0.6826469692905576,0.06209269238231715,0.4910267673844361,0.21660820414021398,0.6347419188140272,0.09089043638915882,-0.5389318178609664,0.16811803527951477
