buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
10,3.0,0.7779954867692463,3.9584684333970755e-171,0.7779954867692463,3.9584684333970755e-171,0.17524459713473214,3.2548664469137406e-07,-0.8928913297459158,2.8068683014216677e-292,-0.9247990554631715,0.0,0.9022464739264866,5.352758463719354e-308
10,6.0,0.7753476870735472,1.9194057088369624e-169,0.7753476870735472,1.9194057088369624e-169,0.17917877568485896,1.7160919219943483e-07,-0.8905830746441783,5.759880138980888e-289,-0.9235441888381516,0.0,0.8996713309852841,7.068993565772632e-304
10,12.0,0.7711143260149191,7.4811003421303e-168,0.7711143260149191,7.4811003421303e-168,0.16733886813714902,9.706951709860983e-07,-0.8883533915534564,7.072642529323372e-288,-0.9218858910059835,0.0,0.8974406114445868,1.4074432320127461e-302
10,24.0,0.7546094283751841,8.739145994639898e-157,0.7546094283751841,8.739145994639898e-157,0.14700838943184646,1.7432850058610902e-05,-0.8759128563331964,1.0658190453556413e-269,-0.909510676513668,0.0,0.8845795433185685,3.837926647127842e-282
10,36.0,0.7565912058976473,4.566507435211891e-158,0.7565912058976473,4.566507435211891e-158,0.18829077326545804,3.3661382495807065e-08,-0.852077915632608,8.564364694440025e-240,-0.8871954062432359,4.274843968027132e-286,0.8585715075020208,2.1602956479376326e-247
25,3.0,0.7540461236667206,5.835549415387537e-155,0.7540461236667206,5.835549415387537e-155,0.03568297288958768,0.3019021631111423,-0.8959394826371373,3.102885705357943e-297,-0.9254744671791739,0.0,0.9034813344123849,3.43038851534605e-310
25,6.0,0.7515327202046902,1.4924126287754879e-153,0.7515327202046902,1.4924126287754879e-153,0.04322439338135125,0.21075891040716097,-0.8938851504356945,3.1634697167248796e-294,-0.9244320768615594,0.0,0.9011172986312413,2.21532483497403e-306
25,12.0,0.7475995557023308,2.3938539064826576e-152,0.7475995557023308,2.3938539064826576e-152,0.03532852300779262,0.30443104505473045,-0.891478301579166,8.75935533968485e-293,-0.9223576430348221,0.0,0.8986434220520062,1.2573562571779782e-304
25,24.0,0.7311926095081915,1.6358457736937415e-142,0.7311926095081915,1.6358457736937415e-142,0.020410909175006257,0.5530415384292836,-0.8797471534172279,4.377028133127239e-275,-0.9104662565062238,0.0,0.8868977571773217,1.217994898626129e-285
25,36.0,0.7342336006803902,2.7948068545393226e-144,0.7342336006803902,2.7948068545393226e-144,0.061301091941950894,0.07456932031816496,-0.8565553303647352,5.41618507791862e-245,-0.888746234957085,1.740957222735075e-288,0.8614110519209438,7.792813230793553e-251
50,3.0,0.7457116465987315,9.164043433669325e-150,0.7457116465987315,9.164043433669325e-150,-0.02653666368929545,0.4427029588156246,-0.8975286986368234,7.01685447557541e-300,-0.9259455787219087,0.0,0.903660886333936,1.63672431701883e-310
50,6.0,0.7432041589187233,2.0461929947780576e-148,0.7432041589187233,2.0461929947780576e-148,-0.018544425386685673,0.5914649699768774,-0.8953529817049447,1.2757723217894543e-296,-0.924917564796948,0.0,0.9013846163794255,7.556054498285871e-307
50,12.0,0.7386538573050389,6.813385630523239e-147,0.7386538573050389,6.813385630523239e-147,-0.024272895923137767,0.48051082291921443,-0.8928226337830102,6.09509565932976e-295,-0.9228134255785838,0.0,0.8986733055453582,1.117441532979786e-304
50,24.0,0.7232961240682476,4.9215675758824347e-138,0.7232961240682476,4.9215675758824347e-138,-0.03549051050740975,0.3022176612703464,-0.8814415493830557,1.5917100019928486e-277,-0.9110084481944859,0.0,0.8867757329188253,1.8693719413481996e-285
50,36.0,0.7249237466363869,6.051280787519758e-139,0.7249237466363869,6.051280787519758e-139,0.0034724143219537133,0.9196221801786413,-0.8585907677287627,2.048401208089125e-247,-0.8893907163359608,1.7260307087258966e-289,0.8622490249568779,7.261535559851497e-252
100,3.0,0.6663436678099527,8.421032204852438e-109,0.6663436678099527,8.421032204852438e-109,-0.3368875795288107,1.032636561279769e-23,-0.9040103104992925,3.8614325002545e-311,-0.9276333403483956,0.0,0.9065328324863567,9.68305584e-316
100,6.0,0.665231548359215,1.915985426910087e-108,0.665231548359215,1.915985426910087e-108,-0.32694715366378924,2.2375022777017786e-22,-0.901630587207184,2.800739237560631e-307,-0.9263904212548698,0.0,0.9039679078251894,1.9668441143033e-311
100,12.0,0.6579416388457051,3.5064617858856767e-106,0.6579416388457051,3.5064617858856767e-106,-0.3179747221513806,2.360404325296607e-21,-0.8992645619964934,1.0745988206751408e-305,-0.9245170810787663,0.0,0.901281757018481,3.26175412129783e-309
100,24.0,0.6457660626810657,4.15157318593778e-101,0.6457660626810657,4.15157318593778e-101,-0.3207111566648006,1.0285843787002927e-21,-0.8877949833274399,5.1408335888556167e-287,-0.9127885121467819,0.0,0.8898104193066928,3.802166340151838e-290
100,36.0,0.648122134892127,4.51479151939473e-102,0.648122134892127,4.51479151939473e-102,-0.2974588057063078,9.134724796270003e-19,-0.8658648187707756,2.159869045398553e-256,-0.8917559294960914,3.156824690651077e-293,0.8661551550774343,9.230760959923224e-257
150,3.0,0.611883655420145,2.527183053416161e-87,0.611883655420145,2.527183053416161e-87,-0.45608997417459773,2.464853052113273e-44,-0.9085382034550202,1.7144e-319,-0.9290452921654936,0.0,0.9079488920658595,2.21616e-318
150,6.0,0.6119694723149813,1.861717454418357e-87,0.6119694723149813,1.861717454418357e-87,-0.4444089531016444,5.6618269153927276e-42,-0.9063971306335977,7.2831804e-316,-0.9276203969708086,0.0,0.9055048354386735,3.191639043e-314
150,12.0,0.6034335172078243,3.796687605662374e-85,0.6034335172078243,3.796687605662374e-85,-0.43260005930038453,6.041131700691798e-40,-0.9037782242974708,1.13009268535e-313,-0.9257897581240135,0.0,0.9027979984323311,6.589637179854e-312
150,24.0,0.5955631205306299,1.941468445611687e-82,0.5955631205306299,1.941468445611687e-82,-0.437532831645668,6.379687710289574e-41,-0.8922432161972945,5.228597909034802e-294,-0.9139875477299043,0.0,0.8915971437991754,5.661000781386057e-293
150,36.0,0.5977240013622112,3.5636877323000874e-83,0.5977240013622112,3.5636877323000874e-83,-0.4292100617516621,2.7720405854615896e-39,-0.8713184176887665,1.782869393232243e-263,-0.8936879209629746,2.4044970614615544e-296,0.8683664050089148,1.3325322637244212e-259
200,3.0,0.6046842120774336,8.603899530094513e-85,0.6046842120774336,8.603899530094513e-85,-0.46884644730364594,4.485686550046154e-47,-0.9090947645899582,1.505e-320,-0.9292672841867421,0.0,0.9080631366658115,1.35119e-318
200,6.0,0.6048948475740021,5.785671966960512e-85,0.6048948475740021,5.785671966960512e-85,-0.4565813683327808,1.7272495806545012e-44,-0.9070114194229817,5.2784274e-317,-0.9278042925344732,0.0,0.9056307285726108,1.8766420225e-314
200,12.0,0.5964967325990979,9.348182511901046e-83,0.5964967325990979,9.348182511901046e-83,-0.4453311778799811,1.690936419332211e-42,-0.904472126093964,6.189045475e-315,-0.9259334143149563,0.0,0.9030450214757575,2.37498175605e-312
