buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
10,3,0.033639654253111134,0.012510162124040863,0.033639654253111134,0.012510162124040863,-0.08786299138727692,6.413621778619857e-11,-0.0543307143495426,5.451713320215938e-05,-0.758955965388453,0.0,-0.7522217600366973,0.0,-0.6932928087348695,0.0,-0.6353861292326364,0.0
10,6,0.011039047465037645,0.4125953057231979,0.011039047465037645,0.4125953057231979,-0.20711250375918966,1.8444941237946802e-54,-0.1720166299746667,7.275837823455924e-38,-0.7639966720037372,0.0,-0.756296650973105,0.0,-0.6824800678188546,0.0,-0.6110713293352056,0.0
10,12,0.0628037010832777,3.0734221177880428e-06,0.0628037010832777,3.0734221177880428e-06,-0.21901128569728642,7.720327926894622e-61,-0.1756871388941206,1.898891373702908e-39,-0.6509221106578633,0.0,-0.6387076872858358,0.0,-0.5633467631483822,0.0,-0.5191104644448911,0.0
10,24,0.11475310837149977,1.2838907876702123e-17,0.11475310837149977,1.2838907876702123e-17,-0.0898171751451812,2.3948312898451664e-11,-0.05636042973906531,2.834666700088142e-05,-0.5544321658941553,0.0,-0.5429633478659109,0.0,-0.4772542666219323,0.0,-0.44006838895572775,7.792067924491935e-260
10,36,0.10803368804758308,8.858143435650422e-16,0.10803368804758308,8.858143435650422e-16,-0.04231182694988997,0.0016793573045398955,-0.014494346429939922,0.28200941314731903,-0.48351589623664215,0.0,-0.47275506888337576,5.691159506131292e-305,-0.41444211877695336,9.365224058242057e-228,-0.37857604358430574,2.523028580235464e-187
25,3,0.008631722599355471,0.5217487528115295,0.008631722599355471,0.5217487528115295,-0.12530132415844114,9.948692677813477e-21,-0.08714528111122181,9.160729910132363e-11,-0.7568220789496698,0.0,-0.749623643257086,0.0,-0.6891620912149798,0.0,-0.6316213908235365,0.0
25,6,-0.018881597614973007,0.16106361594941496,-0.018881597614973007,0.16106361594941496,-0.2499217864280507,3.000390463741589e-79,-0.21099646829120836,1.6844075891348762e-56,-0.7621325594013527,0.0,-0.7537542100056288,0.0,-0.678055366260396,0.0,-0.6065971404815114,0.0
25,12,0.047384841018170705,0.00043343007788539724,0.047384841018170705,0.00043343007788539724,-0.2586443062089652,6.148796164178165e-85,-0.20992221817263354,6.232075945129576e-56,-0.6445279228782346,0.0,-0.6320583742499449,0.0,-0.5608146248666391,0.0,-0.5196618846794901,0.0
25,24,0.10619074440565385,2.7062423870994846e-15,0.10619074440565385,2.7062423870994846e-15,-0.1261790523771696,5.32727756488053e-21,-0.08742356288295906,7.980771664343077e-11,-0.5490220170286203,0.0,-0.5377677145839656,0.0,-0.4762096268770735,4.908424897688e-310,-0.44047098136940915,2.3185489178652437e-260
25,36,0.09963418005919765,1.2326202564288534e-13,0.09963418005919765,1.2326202564288534e-13,-0.07241624550099941,7.376622263387564e-08,-0.04092101496467794,0.0023783765771085664,-0.47812474982496284,0.0,-0.46769599509038007,1.1675849572056829e-297,-0.41364969884725117,8.312829853229414e-227,-0.37827592347098465,5.240949590606655e-187
50,3,-0.005589340345431959,0.678259035575825,-0.005589340345431959,0.678259035575825,-0.15022833374991348,3.4996018643411066e-29,-0.11028570406928977,2.204904081396376e-16,-0.7561698538701568,0.0,-0.748908192269845,0.0,-0.6874513300004464,0.0,-0.6293722124557652,0.0
50,6,-0.034830955776859684,0.009712152559244423,-0.034830955776859684,0.009712152559244423,-0.27625085087839735,4.2198292573399354e-97,-0.23615924810299252,1.0165579278533493e-70,-0.7618804293078865,0.0,-0.7533152453127028,0.0,-0.6764433204549927,0.0,-0.6043144387287752,0.0
50,12,0.04024075650955153,0.0028094765440932383,0.04024075650955153,0.0028094765440932383,-0.2817256576209656,4.507843092401439e-101,-0.23065581831985452,1.8523125984259144e-67,-0.6425984650725135,0.0,-0.6303594901972175,0.0,-0.5613945881246225,0.0,-0.5224378628582289,0.0
50,24,0.10550117601486693,4.089926405168636e-15,0.10550117601486693,4.089926405168636e-15,-0.14413130917412004,5.704759028321145e-27,-0.10329805593986434,1.5029885931144928e-14,-0.548026481337148,0.0,-0.5372315331307188,0.0,-0.47834485779310865,0.0,-0.44397647963953807,5.638579772268936e-265
50,36,0.09944170413699654,1.3738430629608324e-13,0.09944170413699654,1.3738430629608324e-13,-0.08577167413833497,1.7980681991540716e-10,-0.052997404832202055,8.278374090538908e-05,-0.4769460195319233,0.0,-0.46723187760483864,5.3944384226109465e-297,-0.4159826377670137,1.3205288374669039e-229,-0.3812014060605652,4.0766476025112964e-190
100,3,-0.05838218064969834,1.445838840600302e-05,-0.05838218064969834,1.445838840600302e-05,-0.23706807626173979,2.887153207942167e-71,-0.1921504272715283,5.514084012739848e-47,-0.7520373755554458,0.0,-0.744375356266522,0.0,-0.680177706905843,0.0,-0.6227937590099646,0.0
100,6,-0.09936920057177412,1.4310632528143031e-13,-0.09936920057177412,1.4310632528143031e-13,-0.37108542363662156,1.6840306803086e-179,-0.32670192059009606,3.1117565707876406e-137,-0.757703863383031,0.0,-0.748607120123111,0.0,-0.6683049669696506,0.0,-0.5963887658387259,0.0
100,12,0.00482002973018655,0.7205370236421376,0.00482002973018655,0.7205370236421376,-0.35511247337851176,1.6989082080377826e-163,-0.29811840340448936,1.6377174191790143e-113,-0.6343049550015338,0.0,-0.6228469255081951,0.0,-0.5608815301149919,0.0,-0.5276841829321613,0.0
