buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.35160717840581374,4.452565370662661e-31,0.35160717840581374,4.452565370662661e-31,0.39892410670958567,2.7621176863169802e-40,0.4476783660857168,1.796297489380826e-51,-0.6996480942319925,5.929600269759764e-151,-0.6814079908600803,2.769928678449952e-140,-0.5585256136668917,8.258150430761515e-85,-0.4767281066014952,4.658876551614185e-59
25,6,0.3105778322270504,2.865603965018604e-24,0.3105778322270504,2.865603965018604e-24,0.2697229350294537,1.7711165717920152e-18,0.3055356788390351,1.6736175964044234e-23,-0.7273185889878235,8.778076136924395e-169,-0.7098983093459043,2.5932781410126583e-157,-0.560459505568666,1.6533479517165673e-85,-0.4649008690950175,7.00489316276517e-56
25,12,0.2345885268801021,3.1295725537459274e-14,0.2345885268801021,3.1295725537459274e-14,0.19763779167988602,1.8861097741071171e-10,0.22274840477929664,6.046941310350877e-13,-0.7136952651298467,9.707974692293123e-160,-0.6890127609358738,1.2313082466184748e-144,-0.5315198924496605,1.61540989319783e-75,-0.45254021173983733,1.0844543191630683e-52
25,24,0.19720610303287325,2.068803822820101e-10,0.19720610303287325,2.068803822820101e-10,0.20202804875883232,7.278492827593676e-11,0.22671189465122232,2.285587939439704e-13,-0.5706696219395486,2.838201573551001e-89,-0.5431476103543411,2.0476028453213103e-79,-0.42118873505859694,3.630594351224792e-45,-0.36864190222739873,3.2258527770195005e-34
25,36,0.14894313077293872,1.7525209325103146e-06,0.14894313077293872,1.7525209325103146e-06,0.1599973276576713,2.757806095537318e-07,0.17937442370445889,7.860747620985368e-09,-0.4668582986110741,2.1288687760973845e-56,-0.44327920600139764,2.190935250215009e-50,-0.3522290312467173,3.446019009943981e-31,-0.3028948197720369,4.1605181434445246e-23
50,3,0.3319246542979299,1.1073545777978968e-27,0.3319246542979299,1.1073545777978968e-27,0.36419786802322923,2.21941005660435e-33,0.4187637391922031,1.287319117687712e-44,-0.697600696271804,1.0252101262020408e-149,-0.6787474714456286,8.58831703511592e-139,-0.5578790325972651,1.4105971375881632e-84,-0.48115404609094764,2.798727938569448e-60
50,6,0.2938963097732377,8.638475315369132e-22,0.2938963097732377,8.638475315369132e-22,0.23916234859710772,9.536724033463236e-15,0.27812755377241,1.3605969980779961e-19,-0.7248005874891374,4.529101721501776e-167,-0.7061700000393787,5.7379129494434476e-155,-0.5564020573458239,4.771242252386195e-84,-0.46790317840685636,1.1237259650558403e-56
50,12,0.22275952170903848,6.030617075529738e-13,0.22275952170903848,6.030617075529738e-13,0.17374899229784996,2.3027198165305936e-08,0.20127439195342994,8.58422809688032e-11,-0.7068282214981283,2.2256643921155764e-155,-0.6818667342316084,1.526501723343763e-140,-0.5297332349684208,6.218993320250106e-75,-0.45683535019493593,8.7422168616832e-54
50,24,0.1877319138811669,1.493253733522633e-09,0.1877319138811669,1.493253733522633e-09,0.18115826248650888,5.550170473119368e-09,0.2079410546177686,1.950334928616978e-11,-0.5587831548694695,6.669980706656478e-85,-0.5341630791136107,2.16636629008236e-76,-0.42360445178383693,1.0183200073290352e-45,-0.3744084674461465,2.523685450860767e-35
50,36,0.14163568309188457,5.543955734737881e-06,0.14163568309188457,5.543955734737881e-06,0.14556678053059707,3.0045412377168683e-06,0.16542755885675484,1.0600626528897375e-07,-0.457834159054661,4.8424842585315174e-54,-0.43789853306775645,4.443609773207864e-49,-0.3561924647559315,6.63908798573288e-32,-0.30873070617537995,5.491926507213712e-24
