buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.2639743051501857,1.1573670809606228e-41,0.2639743051501857,1.1573670809606228e-41,0.1375311037418976,3.5809605800992886e-12,0.1917542644114748,2.0672540275736346e-22,-0.4417001914361467,1.675931659050674e-121,-0.4219561310084541,5.893984710905461e-110,-0.2860864485489418,6.2108876838850675e-49,-0.19197901593801595,1.843590287531104e-22
25,6,0.30270866313256845,7.526731958261305e-55,0.30270866313256845,7.526731958261305e-55,0.21316183142229703,1.995215080590945e-27,0.23845663347075788,4.290118995514032e-34,-0.46060510090381657,2.6840895648694158e-133,-0.4363344131581132,2.7441757357053013e-118,-0.2753209667817956,2.6121559324333767e-45,-0.17699418006286816,2.8017030950765097e-19
25,12,0.05585195554387161,0.004918380133773617,0.05585195554387161,0.004918380133773617,-0.25721553905679984,1.4207903537158956e-39,-0.2193442045625807,5.565059316493142e-29,-0.45956554512362024,1.25007544541613e-132,-0.44280682676185945,3.5821513120349e-122,-0.34645500003485674,2.264243565524824e-72,-0.2844709956095415,2.2246306686945147e-48
25,24,0.07250312269142055,0.00025946597104776266,0.07250312269142055,0.00025946597104776266,-0.11006636036398837,2.779866421060263e-08,-0.0839773580756881,2.3088583591062238e-05,-0.3446773719451964,1.3311862674867968e-71,-0.3318322041083213,3.435961422158451e-66,-0.25589210480120045,3.5843576323029414e-39,-0.20232024904967658,8.14123250591792e-25
25,36,0.062315101458574725,0.001698884307506571,0.062315101458574725,0.001698884307506571,-0.06496960183721101,0.001066615878207988,-0.04502153470234616,0.023429148097335508,-0.2934644153269913,1.6431712725989028e-51,-0.2838072222597934,3.748630934475835e-48,-0.22082578973035258,2.3215457159486382e-29,-0.17636129567095574,3.7658217540592494e-19
50,3,0.265389363116211,4.152318873316549e-42,0.265389363116211,4.152318873316549e-42,0.14379590665566508,3.521763472635537e-13,0.19763003863528347,9.88617055588587e-24,-0.44659626826724363,1.7401053649395847e-124,-0.4269029592753657,8.897907521374697e-113,-0.2939036990686719,1.1475821899301301e-51,-0.20118651831282958,1.497206213889585e-24
50,6,0.30162292747417396,1.884349760601245e-54,0.30162292747417396,1.884349760601245e-54,0.2170226893896838,2.1619221487234184e-28,0.24141474617452896,6.295580581060658e-35,-0.46809176962942506,3.5322963019846974e-138,-0.44305179879128975,2.5437077047331916e-122,-0.28390405705698646,3.4741724201394265e-48,-0.1865582896014563,2.8052000319050536e-21
50,12,0.05766599393963794,0.0036863515059097425,0.05766599393963794,0.0036863515059097425,-0.24916555325688033,3.639053378924905e-37,-0.2123763689626533,3.119272378546806e-27,-0.46425922288114546,1.1528833144453747e-135,-0.44737004848384776,5.814878258790116e-125,-0.35199669125289884,8.401059563074188e-75,-0.2911651629067694,1.0646122030863616e-50
50,24,0.07031188138637043,0.00039701928183489096,0.07031188138637043,0.00039701928183489096,-0.10486740843583654,1.2171994298341775e-07,-0.07972730916371976,5.874457090333262e-05,-0.34921453704981276,1.4148753190925261e-73,-0.33617632124411145,5.427080138262413e-68,-0.2613395371462391,7.676464884677046e-41,-0.20894567101742964,2.150973372337888e-26
50,36,0.060920711412643484,0.0021548555474170494,0.060920711412643484,0.0021548555474170494,-0.06120504899487692,0.0020536516768573506,-0.041747360318749156,0.03560644813127194,-0.29787679925231514,4.337365038836818e-53,-0.288073987823818,1.277578125847739e-49,-0.22563681335078323,1.2990929550679932e-30,-0.18168269658983294,3.026867449605694e-20
