buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
25,3.0,0.2941204645411234,0.0006824104240834124,0.2941204645411234,0.0006824104240834124,0.28407059745607843,0.0010552415766198289,-0.29763067905710133,0.0005838353924683422,-0.5970861233256215,6.489466155110878e-14,0.5008525302685375,1.2900025595079081e-09
25,6.0,0.222468381464002,0.01095923387119507,0.222468381464002,0.01095923387119507,0.40209575572638384,2.1157807316720688e-06,-0.16174849954870438,0.06598421507430186,-0.542020828218164,2.739542676104969e-11,0.4483138758908071,8.851226047749551e-08
25,12.0,0.5473776614211466,1.5957931920997816e-11,0.5473776614211466,1.5957931920997816e-11,0.3803214989895277,8.068695869968762e-06,-0.10126627418040296,0.25162494283520626,-0.47885882040614713,8.263109041886472e-09,0.3285984001464466,0.00013510334837829051
25,24.0,0.33022558527238416,0.0001101943433460805,0.33022558527238416,0.0001101943433460805,0.06927603286657495,0.42993684205509564,-0.27852884478676954,0.001221301547104582,-0.5120383142657302,3.488727982959394e-10,0.31167039036055266,0.00027497139181326266
25,36.0,0.15131501985887258,0.07538397068560183,0.15131501985887258,0.07538397068560183,0.00707927434375326,0.9340815352107479,-0.1546334297075069,0.06912730032975259,-0.2647197211439528,0.0016372179220950794,0.16884337464182728,0.04692823281838661
50,3.0,0.28614121426783823,0.0009658529509863831,0.28614121426783823,0.0009658529509863831,0.24601823309220874,0.004780752387121491,-0.3433727351427437,6.34652752096927e-05,-0.6202398807088348,3.5596847056108365e-15,0.5063727969355377,7.925541263231707e-10
50,6.0,0.2069387553758039,0.01816158417693821,0.2069387553758039,0.01816158417693821,0.3557554607465787,3.270170736400436e-05,-0.20992994984661775,0.01651959495708537,-0.5653794619349944,2.4155397632514345e-12,0.45398392850595104,5.79915961996655e-08
50,12.0,0.5397617251794762,3.431014714993141e-11,0.5397617251794762,3.431014714993141e-11,0.3393762807949805,7.815065667825535e-05,-0.16088255557861486,0.0674659390362993,-0.510622847170187,5.414506280169215e-10,0.3419837087789926,6.82486281295327e-05
50,24.0,0.31076233132113246,0.0002871242036143256,0.31076233132113246,0.0002871242036143256,0.038000183307692614,0.6653107045517754,-0.3115947187739343,0.0002759656296006425,-0.5312615066318478,5.6172054851327276e-11,0.32238705264474504,0.00016332485757246753
50,36.0,0.13897321676526483,0.10276337901793223,0.13897321676526483,0.10276337901793223,-0.01028595322105311,0.9043423970352045,-0.16991375734721167,0.04552948919831242,-0.28055199978205,0.0008221290025084389,0.16808136941732604,0.04794563589584243
100,3.0,0.2777194311139394,0.0013786698065159895,0.2777194311139394,0.0013786698065159895,0.1849842074653645,0.03511811155571945,-0.3927288097533968,3.8073486140925594e-06,-0.6450736240277105,1.1967943569417428e-16,0.5111725347394743,5.152179163334635e-10
100,6.0,0.1764859371469152,0.04457851336418708,0.1764859371469152,0.04457851336418708,0.28189890831973413,0.0011570659595447528,-0.27848157107499605,0.0013355799541897478,-0.597738995908749,5.998446715140576e-14,0.4710939479931888,1.543725160565133e-08
100,12.0,0.5058423993857812,8.308454154394314e-10,0.5058423993857812,8.308454154394314e-10,0.27967258549442514,0.0012706960848493,-0.21699681751419359,0.013142956758194635,-0.5361804868678441,4.8853200178042656e-11,0.35896343867616,2.7415328693289903e-05
100,24.0,0.2743303764119788,0.001456889972581897,0.2743303764119788,0.001456889972581897,-0.00121074538589366,0.989007010694835,-0.3511526930199427,3.654242629813278e-05,-0.5475622101354636,1.0883765044584112e-11,0.3659060430454659,1.5992760588526062e-05
100,36.0,0.11125499739660466,0.1922730836024595,0.11125499739660466,0.1922730836024595,-0.04335385149720864,0.6123252763103311,-0.18718960013495048,0.02734578150234048,-0.2942077590985513,0.0004389745881894858,0.1678958960049108,0.04819602843204877
150,3.0,0.2629847252001768,0.0025034496374518847,0.2629847252001768,0.0025034496374518847,0.1467679420346009,0.0956564646528722,-0.4175980649700996,7.687519362230555e-07,-0.6623597232161217,9.325884001322657e-18,0.4973081669575904,1.7557197431382983e-09
150,6.0,0.14809827236088982,0.0926546663619941,0.14809827236088982,0.0926546663619941,0.2140739151545855,0.0144584696121918,-0.3326262885233996,0.00011036862650046142,-0.628784589662904,1.146445519667925e-15,0.4707910331572102,1.581329409946982e-08
150,12.0,0.47286004135782994,1.3409941957754088e-08,0.47286004135782994,1.3409941957754088e-08,0.23645460583894906,0.006759246495083789,-0.25756233157043656,0.0030926052402332517,-0.546309572801888,1.7787088494442183e-11,0.3684332082708227,1.6110353430202944e-05
150,24.0,0.24929873743163855,0.003943574866249407,0.24929873743163855,0.003943574866249407,-0.014116664951906685,0.872366294633491,-0.3668532425607232,1.5145152991816766e-05,-0.5520033494604442,6.852695647673491e-12,0.36283742973983885,1.905597280387143e-05
150,36.0,0.09717242576960561,0.2551221734488601,0.09717242576960561,0.2551221734488601,-0.06028556289323719,0.48082294428716876,-0.1814287512529442,0.03255980608528489,-0.29233067878013186,0.00047940872101072054,0.14825263955048673,0.08155617318439735
200,3.0,0.2618510761541606,0.002617488382310973,0.2618510761541606,0.002617488382310973,0.14397069715961147,0.10221899705367025,-0.42119023001952444,6.035633057470682e-07,-0.664449461819019,6.772089132522849e-18,0.4966497230978549,1.8584703903638432e-09
200,6.0,0.14848617155253874,0.0917936178445182,0.14848617155253874,0.0917936178445182,0.20980702404644735,0.016584444298973707,-0.340359687196344,7.426812939891533e-05,-0.6288091748229381,1.1426565742039718e-15,0.47393251746243353,1.230631547529443e-08
200,12.0,0.4701365519629428,1.665602068435411e-08,0.4701365519629428,1.665602068435411e-08,0.232283323686499,0.007829512803671508,-0.259004660959103,0.002924787781326695,-0.5457659675966898,1.8794341825675156e-11,0.3720226416357994,1.31121549701397e-05
200,24.0,0.24509244096168037,0.004619285574895108,0.24509244096168037,0.004619285574895108,-0.013767010034428772,0.8755018378034682,-0.36813183143806777,1.4067971587802838e-05,-0.5512101024834793,7.44672222834079e-12,0.3596253013561425,2.284908303578938e-05
200,36.0,0.0989891713635044,0.2463028629518008,0.0989891713635044,0.2463028629518008,-0.0610296911623249,0.4754142004387728,-0.1776209597498648,0.036449827561820004,-0.29273961413521604,0.0004703178463106745,0.14534763105054882,0.087779828813284
500,3.0,0.2618510761541606,0.002617488382310973,0.2618510761541606,0.002617488382310973,0.14397069715961147,0.10221899705367025,-0.42119023001952444,6.035633057470682e-07,-0.664449461819019,6.772089132522849e-18,0.4966497230978549,1.8584703903638432e-09
500,6.0,0.14848617155253874,0.0917936178445182,0.14848617155253874,0.0917936178445182,0.20980702404644735,0.016584444298973707,-0.340359687196344,7.426812939891533e-05,-0.6288091748229381,1.1426565742039718e-15,0.47393251746243353,1.230631547529443e-08
500,12.0,0.4701365519629428,1.665602068435411e-08,0.4701365519629428,1.665602068435411e-08,0.232283323686499,0.007829512803671508,-0.259004660959103,0.002924787781326695,-0.5457659675966898,1.8794341825675156e-11,0.3720226416357994,1.31121549701397e-05
500,24.0,0.24509244096168037,0.004619285574895108,0.24509244096168037,0.004619285574895108,-0.013767010034428772,0.8755018378034682,-0.36813183143806777,1.4067971587802838e-05,-0.5512101024834793,7.44672222834079e-12,0.3596253013561425,2.284908303578938e-05
500,36.0,0.0989891713635044,0.2463028629518008,0.0989891713635044,0.2463028629518008,-0.0610296911623249,0.4754142004387728,-0.1776209597498648,0.036449827561820004,-0.29273961413521604,0.0004703178463106745,0.14534763105054882,0.087779828813284
