buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-1.0,0.0,-1.0,0.0,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007
25,6,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
25,12,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
25,24,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
25,36,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
50,3,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-1.0,0.0,-1.0,0.0,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007
50,6,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
50,12,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
50,24,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
50,36,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
100,3,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-1.0,0.0,-1.0,0.0,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007
100,6,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
100,12,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
100,24,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-1.0,0.0,-1.0,0.0,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
100,36,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
150,3,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-1.0,0.0,-1.0,0.0,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007
150,6,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
150,12,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
150,24,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
150,36,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
200,3,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-1.0,0.0,-1.0,0.0,-1.0,0.0,-0.7999999999999999,0.20000000000000007
200,6,-0.19999999999999998,0.8,-0.19999999999999998,0.8,-0.7999999999999999,0.20000000000000007,-0.7999999999999999,0.20000000000000007,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6,-0.39999999999999997,0.6
