buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,q50_anomaly_total_r,q50_anomaly_total_p,q75_anomaly_total_r,q75_anomaly_total_p,q90_anomaly_total_r,q90_anomaly_total_p,q50_deficit_total_r,q50_deficit_total_p
25,3.0,0.5235625417458738,6.193782862504347e-91,0.5235625417458738,6.193782862504347e-91,0.4293382658291819,1.6444245136188695e-58,-0.43486194378849685,3.8274220119638783e-60,-0.6733608770326727,1.0342277817764877e-169,0.5414875585372897,2.4364338290117857e-98
25,6.0,0.3425863935601302,1.558102582728519e-36,0.3425863935601302,1.558102582728519e-36,0.3806258936463963,2.327202255224036e-45,-0.30907542273229305,1.0326267641575815e-29,-0.5544786730975919,5.414069003170883e-104,0.44555905519568273,2.1526964517591125e-63
25,12.0,0.3338798833607038,2.2406910738787707e-35,0.3338798833607038,2.2406910738787707e-35,0.36135048833357264,1.4578608085892674e-41,-0.2066172062623509,4.6556906749217995e-14,-0.42762037361714705,3.382731183193503e-59,0.35285991345774526,1.3869011750711354e-39
25,24.0,0.2390487770306746,8.638198841591131e-19,0.2390487770306746,8.638198841591131e-19,0.24757697280767582,4.422267941081588e-20,-0.1336964313392921,9.556296914182825e-07,-0.3116137737308888,1.9861650354745557e-31,0.22276542567113866,1.8364416007863134e-16
25,36.0,0.15976524901161518,2.6007370177201718e-09,0.15976524901161518,2.6007370177201718e-09,0.1752874389907498,6.059215768441441e-11,-0.08957017833165021,0.0008879858499769854,-0.22154700499199584,9.718609652119678e-17,0.14303545601823778,1.0120772010368154e-07
50,3.0,0.5051043396319446,9.281851076159236e-84,0.5051043396319446,9.281851076159236e-84,0.39946340896746957,3.4626993561230323e-50,-0.45780058492473535,2.9417901898316005e-67,-0.6800051615949266,2.5731800178689692e-174,0.5423894730808098,1.0051712908924704e-98
50,6.0,0.32739944021100037,2.457121438544357e-33,0.32739944021100037,2.457121438544357e-33,0.3580112973631663,5.723066245876983e-40,-0.331561174234774,3.403619102273511e-34,-0.5622321159818743,1.7333325780041202e-107,0.44859093625515434,2.4576896446186302e-64
50,12.0,0.31898506509981067,2.831961343671831e-32,0.31898506509981067,2.831961343671831e-32,0.3397270243189173,1.2160496776308636e-36,-0.22625119158276374,1.2725062124292242e-16,-0.43587578481484995,1.0964303348095252e-61,0.3532677232414845,1.1178864592223114e-39
50,24.0,0.22806328278487145,3.3592012759374164e-17,0.22806328278487145,3.3592012759374164e-17,0.23152755601600886,1.0806246899940065e-17,-0.14698671124875148,6.936025756245768e-08,-0.31850906820091135,7.823843237675396e-33,0.22486555603877392,9.413837766204221e-17
50,36.0,0.15392716628680614,9.767816953143047e-09,0.15392716628680614,9.767816953143047e-09,0.1661364261378249,5.800338672010954e-10,-0.0986618870231308,0.0002495112592997878,-0.22686308248577491,1.697460288225009e-17,0.14525495997917323,6.37167350378917e-08
100,3.0,0.4939178435096022,1.278764715981345e-79,0.4939178435096022,1.278764715981345e-79,0.3806298139369787,2.32199856808964e-45,-0.46884392878299613,6.995700207699257e-71,-0.6826501991444572,3.494626073030681e-176,0.5400404757784395,1.0028953772382788e-97
100,6.0,0.3190920892322702,1.1600857118369488e-31,0.3190920892322702,1.1600857118369488e-31,0.34324940445992924,1.119108591771432e-36,-0.3435841863780002,9.466024929234746e-37,-0.5656842630712123,4.497215548054923e-109,0.4462265143438358,1.33758667076038e-63
100,12.0,0.3068472429182763,7.132117700148688e-30,0.3068472429182763,7.132117700148688e-30,0.32525352149862474,1.4717843397585902e-33,-0.2387454890672758,2.2016411118821076e-18,-0.4430892824484884,6.423010927614263e-64,0.35250870869100404,1.669492564430449e-39
