buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.2087939042877661,1.0656188821388042e-30,0.2087939042877661,1.0656188821388042e-30,0.2542813420839634,3.518990364067582e-45,0.319665277381648,9.485128993530957e-72,-0.8616384307622809,0.0,-0.8547736942848255,0.0,-0.8023985986421471,0.0,-0.7546551177528147,0.0
25,6,0.3713024924984597,4.9862354286585904e-98,0.3713024924984597,4.9862354286585904e-98,0.4484400904677398,2.365392547055803e-147,0.5025347754577759,1.9863356281194344e-190,-0.7982212693810287,0.0,-0.7879144934247155,0.0,-0.7123395711924374,0.0,-0.6556844876919456,0.0
25,12,0.26976272441626353,7.751864603463836e-51,0.26976272441626353,7.751864603463836e-51,0.2929945754174441,4.7213412109549276e-60,0.3447546575001213,6.743557104285346e-84,-0.8157585579356329,0.0,-0.8048499907350712,0.0,-0.7228541182095867,0.0,-0.6671731561722852,0.0
25,24,0.23965195039389112,3.521995442562939e-40,0.23965195039389112,3.521995442562939e-40,0.2731311846253476,4.0537462939204895e-52,0.31948202614829524,1.152438047590908e-71,-0.7409933331074876,0.0,-0.7276432970470904,0.0,-0.6497074277314931,0.0,-0.6152646801022357,7.24734142530565e-310
25,36,0.2082796468109151,1.4914641358337782e-30,0.2082796468109151,1.4914641358337782e-30,0.24854639062862965,3.517050929002102e-43,0.28922425933526474,1.698607457805303e-58,-0.6562804547676123,0.0,-0.6441457336624503,0.0,-0.5848972125374989,5.2963788277761745e-273,-0.5543463057526942,1.1818940240754217e-239
50,3,0.17601380923959586,3.7216158757182385e-22,0.17601380923959586,3.7216158757182385e-22,0.21031437141060957,3.9231437676351624e-31,0.2810788313243294,3.2451571417803727e-55,-0.8613827897149186,0.0,-0.8543270752121569,0.0,-0.8016313768677653,0.0,-0.7541670840988851,0.0
50,6,0.3421544627658486,1.3841854140808416e-82,0.3421544627658486,1.3841854140808416e-82,0.4122318868242487,1.404194310717334e-122,0.47222279910438153,2.4362932917765597e-165,-0.7982461567441529,0.0,-0.7878839905678885,0.0,-0.7115561938035126,0.0,-0.6566813436946479,0.0
50,12,0.24014949671368052,2.4107500560918486e-40,0.24014949671368052,2.4107500560918486e-40,0.2515679147291573,3.1548341008509387e-44,0.3090867335113143,5.794115683309154e-67,-0.8142814249316094,0.0,-0.8032327635148825,0.0,-0.7217498090760839,0.0,-0.6686739714552967,0.0
50,24,0.21326454613620455,5.519662559893165e-32,0.21326454613620455,5.519662559893165e-32,0.23662040323198677,3.48126126444235e-39,0.2872566681762051,1.0782686998773473e-57,-0.73879756835409,0.0,-0.7256957971112492,0.0,-0.6505354771440145,0.0,-0.6176380920629064,6.4184166743e-313
50,36,0.18510008538346634,2.2733264635313176e-24,0.18510008538346634,2.2733264635313176e-24,0.21587676382141102,9.485264996152663e-33,0.2615445765338735,8.704102975653563e-48,-0.6536252206105628,0.0,-0.6426494198373957,0.0,-0.5862895888691508,1.3140217290055073e-274,-0.5567573249055284,3.6798784294408595e-242
100,3,0.15911949222022986,2.3970234192282004e-18,0.15911949222022986,2.3970234192282004e-18,0.18748244632552674,5.71184856876983e-25,0.2622831787966854,4.677128439901562e-48,-0.8604540107924761,0.0,-0.8533088297269561,0.0,-0.8002963636524024,0.0,-0.7532376563814192,0.0
100,6,0.3263295837354156,7.259460495283211e-75,0.3263295837354156,7.259460495283211e-75,0.3927584181864431,1.8314989424629597e-110,0.4574583608304125,5.255620526687022e-154,-0.7979512045948945,0.0,-0.7873521216656791,0.0,-0.7109674779428841,0.0,-0.6567333368055777,0.0
100,12,0.22352505557165545,4.77986534999629e-35,0.22352505557165545,4.77986534999629e-35,0.229138269426548,8.660158195327378e-37,0.29040924271437557,5.541156624807331e-59,-0.8127093823187665,0.0,-0.8012823762191107,0.0,-0.7206568248484683,0.0,-0.6694940305491844,0.0
100,24,0.19887017870590287,5.9854101065936785e-28,0.19887017870590287,5.9854101065936785e-28,0.21673071802459354,5.306664236998418e-33,0.27104390775071574,2.5358744232758257e-51,-0.7368967098851239,0.0,-0.7235671707936921,0.0,-0.6509062563955951,0.0,-0.619188483440722,6.29638597e-315
100,36,0.17263245283080003,2.317187370403132e-21,0.17263245283080003,2.317187370403132e-21,0.1991511799906468,5.025826470120325e-28,0.24753466766312945,7.828006139288907e-43,-0.6520479673407,0.0,-0.6410180360418605,0.0,-0.5873988089486522,6.825050760623845e-276,-0.5582359809235278,1.0429344770618569e-243
150,3,0.14304636690816258,4.343433328882199e-15,0.14304636690816258,4.343433328882199e-15,0.16443122613020375,1.6784020513593874e-19,0.24225913407008656,4.784768636107648e-41,-0.8601958279833791,0.0,-0.8530258663390065,0.0,-0.7998498749827402,0.0,-0.7530733790186553,0.0
150,6,0.31139116846615544,5.4578209160968386e-68,0.31139116846615544,5.4578209160968386e-68,0.37304454706634893,5.281153544937275e-99,0.44131638032901477,3.0861273431557966e-142,-0.7978028195105192,0.0,-0.7870393875738021,0.0,-0.7107435398080045,0.0,-0.657088352990639,0.0
150,12,0.20927940358892266,7.75176355308075e-31,0.20927940358892266,7.75176355308075e-31,0.20798045806553322,1.8129338320442616e-30,0.27203485166391095,1.0640721749463786e-51,-0.8118699393485316,0.0,-0.8003084835892953,0.0,-0.7199648303658303,0.0,-0.6699351833004523,0.0
150,24,0.18640984139068753,1.0662567393087513e-24,0.18640984139068753,1.0662567393087513e-24,0.19771530265595466,1.2239892378808427e-27,0.2549197221339972,2.092367576889503e-45,-0.7357589897901745,0.0,-0.7223478250974581,0.0,-0.651099784763575,0.0,-0.6198663038654436,8.2701585e-316
150,36,0.16149511375245465,7.379628987299108e-19,0.16149511375245465,7.379628987299108e-19,0.18219174894682677,1.1968861447986485e-23,0.23296509328729473,5.281727096585193e-38,-0.6513456044478274,0.0,-0.6402443993829345,0.0,-0.5879413516484526,1.5996221835672685e-276,-0.5591172542361458,1.2364895876737642e-244
200,3,0.14304636690816258,4.343433328882199e-15,0.14304636690816258,4.343433328882199e-15,0.16443122613020375,1.6784020513593874e-19,0.24225913407008656,4.784768636107648e-41,-0.8601958279833791,0.0,-0.8530258663390065,0.0,-0.7998498749827402,0.0,-0.7530733790186553,0.0
200,6,0.31139116846615544,5.4578209160968386e-68,0.31139116846615544,5.4578209160968386e-68,0.37304454706634893,5.281153544937275e-99,0.44131638032901477,3.0861273431557966e-142,-0.7978028195105192,0.0,-0.7870393875738021,0.0,-0.7107435398080045,0.0,-0.657088352990639,0.0
200,12,0.20927940358892266,7.75176355308075e-31,0.20927940358892266,7.75176355308075e-31,0.20798045806553322,1.8129338320442616e-30,0.27203485166391095,1.0640721749463786e-51,-0.8118699393485316,0.0,-0.8003084835892953,0.0,-0.7199648303658303,0.0,-0.6699351833004523,0.0
200,24,0.18640984139068753,1.0662567393087513e-24,0.18640984139068753,1.0662567393087513e-24,0.19771530265595466,1.2239892378808427e-27,0.2549197221339972,2.092367576889503e-45,-0.7357589897901745,0.0,-0.7223478250974581,0.0,-0.651099784763575,0.0,-0.6198663038654436,8.2701585e-316
200,36,0.16149511375245465,7.379628987299108e-19,0.16149511375245465,7.379628987299108e-19,0.18219174894682677,1.1968861447986485e-23,0.23296509328729473,5.281727096585193e-38,-0.6513456044478274,0.0,-0.6402443993829345,0.0,-0.5879413516484526,1.5996221835672685e-276,-0.5591172542361458,1.2364895876737642e-244
500,3,0.14304636690816258,4.343433328882199e-15,0.14304636690816258,4.343433328882199e-15,0.16443122613020375,1.6784020513593874e-19,0.24225913407008656,4.784768636107648e-41,-0.8601958279833791,0.0,-0.8530258663390065,0.0,-0.7998498749827402,0.0,-0.7530733790186553,0.0
