buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
25,3,0.21235264711638704,9.471669204222484e-18,0.21235264711638704,9.471669204222484e-18,0.27219847323879925,1.5249925259909998e-28,0.31286457573616977,1.2642122432911933e-37,-0.5612658360228656,2.6417382232180704e-133,-0.5446094924145363,4.279188487063853e-124,-0.40995369921975505,8.295802785863461e-66,-0.313136373548915,1.08661649613033e-37
25,6,0.1860245747024716,6.577842856945413e-14,0.1860245747024716,6.577842856945413e-14,0.17240394076050414,3.963735636669144e-12,0.1953195200439047,3.3325471758769047e-15,-0.634406666226644,1.075432259327436e-180,-0.6149837571947554,6.942567951344327e-167,-0.4617399527890594,3.412293976409888e-85,-0.3416090395130814,5.760251889074253e-45
25,12,0.17811416243456543,7.393092217359776e-13,0.17811416243456543,7.393092217359776e-13,0.14401102075595842,7.359826723641545e-09,0.1696323573153439,8.776220810561085e-12,-0.5639463070981869,7.770690352053153e-135,-0.5419588153380897,1.12105352414701e-122,-0.3941219543387744,1.5800590973945256e-60,-0.31102021406881647,3.516641287278084e-37
25,24,0.13313112747580988,9.215806454114568e-08,0.13313112747580988,9.215806454114568e-08,0.12966741497482834,1.9782415108977226e-07,0.15014456904183854,1.6239217520769747e-09,-0.44860069651487183,5.949987211459848e-80,-0.425737158546822,2.311223111575312e-71,-0.3004535059607985,1.0744589926782613e-34,-0.24508880438455052,2.739313485579047e-23
25,36,0.09916893096501167,7.15815204009852e-05,0.09916893096501167,7.15815204009852e-05,0.10334169223519685,3.489196925656426e-05,0.1186937391067561,1.9562097155853135e-06,-0.36939143840987265,7.736906543702721e-53,-0.34974174904997624,3.445471177152154e-47,-0.2570257333180192,1.5861151706925649e-25,-0.20672292561665548,6.966063953183206e-17
50,3,0.21468862623992205,4.069690078988236e-18,0.21468862623992205,4.069690078988236e-18,0.271254840811535,2.3803813388610474e-28,0.3128717291563144,1.2591879853817256e-37,-0.5634704215957057,1.4567059758061635e-134,-0.5462783709652584,5.393636706898204e-125,-0.40906741598553553,1.667428151238263e-65,-0.3142575499923219,5.809695212315243e-38
50,6,0.186153306857388,6.318194500942436e-14,0.186153306857388,6.318194500942436e-14,0.17027875594569342,7.299764300804646e-12,0.1942751853996929,4.694634441365655e-15,-0.6353524351224531,2.156327384464736e-181,-0.6152341621890456,4.673082633444856e-167,-0.4601366441331314,1.5310462258999264e-84,-0.341467772231096,6.28749778045883e-45
50,12,0.1791296525478464,5.452246449531452e-13,0.1791296525478464,5.452246449531452e-13,0.1425094156758702,1.0553777882854275e-08,0.1687620073765877,1.1233951070506954e-11,-0.5635845866522925,1.252969948585893e-134,-0.540757968566342,4.875137808520102e-122,-0.39368000089727556,2.1977692454779368e-60,-0.3121227656989055,1.909424835962004e-37
50,24,0.13221487213583735,1.130102948002625e-07,0.13221487213583735,1.130102948002625e-07,0.12746066646652404,3.1857084950493475e-07,0.14874209286738135,2.3069156193378705e-09,-0.44760892811324443,1.4484578866903568e-79,-0.4238599761181789,1.0969157219763314e-70,-0.3016190385110772,5.78225080814921e-35,-0.24754382289259444,9.709098665078718e-24
50,36,0.09810975279020161,8.553141124028817e-05,0.09810975279020161,8.553141124028817e-05,0.10184683474915673,4.5278437065757686e-05,0.11760174489272932,2.431208592983924e-06,-0.3680373687605097,1.9527859141522326e-52,-0.3480766607498741,9.9495684528671e-47,-0.2567600657333792,1.7841164796779298e-25,-0.2078880023486239,4.631110567485396e-17
