buffer,backcast,ep_total_r,ep_total_p,ep_mean_r,ep_mean_p,mean_anomaly_total_r,mean_anomaly_total_p,q50_anomaly_total_r,q50_anomaly_total_p,mean_deficit_total_r,mean_deficit_total_p,q50_deficit_total_r,q50_deficit_total_p,q75_deficit_total_r,q75_deficit_total_p,q90_deficit_total_r,q90_deficit_total_p
5,3,-0.2434343989110232,1.0631546571035333e-14,-0.2434343989110232,1.0631546571035333e-14,-0.5210873486088585,2.1790628398394664e-69,-0.5003827337182852,2.752666084686961e-63,-0.596282689227716,1.6877548206481353e-95,-0.5859859509705038,1.633480792897032e-91,-0.4928847796171498,3.530983081713244e-61,-0.44317758558166354,1.8768354016163953e-48
5,6,-0.26535005793229804,2.854106689901272e-17,-0.26535005793229804,2.854106689901272e-17,-0.5235951787260761,3.717632256570662e-70,-0.5056122242646969,8.67100918718864e-65,-0.5791323605752754,6.136180993258696e-89,-0.5681239731769349,6.281333117194452e-85,-0.4823447153299343,2.655641106306843e-58,-0.4402107457468916,9.300907430424324e-48
5,12,-0.19624423852256548,5.679139782975026e-10,-0.19624423852256548,5.679139782975026e-10,-0.38966195745953014,6.369124067931975e-37,-0.37938766042186295,6.120838827875815e-35,-0.4294729542181268,2.6755191638736316e-45,-0.4232869186051477,6.372052168706392e-44,-0.3876958689322334,1.545168672877942e-36,-0.3640901060620419,4.075618148369934e-32
5,24,-0.12222498050829324,0.00012418448012383075,-0.12222498050829324,0.00012418448012383075,-0.3317603951578962,1.2387845460227585e-26,-0.3212682066529736,5.459558901122771e-25,-0.3769814862963252,1.7418345893750348e-34,-0.37226040917350933,1.321720218657055e-33,-0.33753090912435935,1.4489084880983317e-27,-0.30911349817577366,3.6492023295693054e-23
5,36,-0.10083049037015163,0.0015661474680534267,-0.10083049037015163,0.0015661474680534267,-0.29417296035797663,4.912884528534301e-21,-0.283697149939366,1.2909814857353915e-19,-0.34473918010274945,9.306910083447399e-29,-0.34086002686426004,4.114455417329813e-28,-0.30532615749501213,1.2993105416171587e-22,-0.2765082195822268,1.1242037460053746e-18
10,3,-0.2434343989110232,1.0631546571035333e-14,-0.2434343989110232,1.0631546571035333e-14,-0.5210873486088585,2.1790628398394664e-69,-0.5003827337182852,2.752666084686961e-63,-0.596282689227716,1.6877548206481353e-95,-0.5859859509705038,1.633480792897032e-91,-0.4928847796171498,3.530983081713244e-61,-0.44317758558166354,1.8768354016163953e-48
10,6,-0.26535005793229804,2.854106689901272e-17,-0.26535005793229804,2.854106689901272e-17,-0.5235951787260761,3.717632256570662e-70,-0.5056122242646969,8.67100918718864e-65,-0.5791323605752754,6.136180993258696e-89,-0.5681239731769349,6.281333117194452e-85,-0.4823447153299343,2.655641106306843e-58,-0.4402107457468916,9.300907430424324e-48
10,12,-0.19624423852256548,5.679139782975026e-10,-0.19624423852256548,5.679139782975026e-10,-0.38966195745953014,6.369124067931975e-37,-0.37938766042186295,6.120838827875815e-35,-0.4294729542181268,2.6755191638736316e-45,-0.4232869186051477,6.372052168706392e-44,-0.3876958689322334,1.545168672877942e-36,-0.3640901060620419,4.075618148369934e-32
10,24,-0.12222498050829324,0.00012418448012383075,-0.12222498050829324,0.00012418448012383075,-0.3317603951578962,1.2387845460227585e-26,-0.3212682066529736,5.459558901122771e-25,-0.3769814862963252,1.7418345893750348e-34,-0.37226040917350933,1.321720218657055e-33,-0.33753090912435935,1.4489084880983317e-27,-0.30911349817577366,3.6492023295693054e-23
10,36,-0.10083049037015163,0.0015661474680534267,-0.10083049037015163,0.0015661474680534267,-0.29417296035797663,4.912884528534301e-21,-0.283697149939366,1.2909814857353915e-19,-0.34473918010274945,9.306910083447399e-29,-0.34086002686426004,4.114455417329813e-28,-0.30532615749501213,1.2993105416171587e-22,-0.2765082195822268,1.1242037460053746e-18
