date,RZ_ID,Year,Month,LoS,buffer,ep_total,ep_mean,q50_anomaly_total,q75_anomaly_total,q90_anomaly_total,q50_deficit_total,Day
2020-01-01,36,2020,1,0,25.0,-7.000858636,-2.3336195453333333,1.9857715129999995,-1.4321814264999997,-3.7935373687600014,0.0,1
2020-02-01,36,2020,2,0,25.0,-10.96904156,-3.656347186666667,-4.411514434400001,-7.162153116800001,-8.690109170600003,4.411514434400001,1
2020-03-01,36,2020,3,0,25.0,-1.987605264,-0.6625350879999999,2.0038961867999996,-0.5309469947999998,-2.6770696740000006,0.0,1
2020-04-01,36,2020,4,0,25.0,-0.8747796480000003,-0.2915932160000001,-1.1442190248000006,-3.4336240962,-6.117130363584002,1.1442190248000006,1
2020-05-01,36,2020,5,0,25.0,-1.8326890872000003,-0.6108963624000001,-4.624702901999999,-7.834860513600001,-10.334301565872,4.624702901999999,1
2020-06-01,36,2020,6,0,25.0,8.488279220799999,2.829426406933333,4.609514969199999,0.15918750879999877,-3.358985618000002,0.0,1
2020-07-01,36,2020,7,0,25.0,-1.0447969888,-0.34826566293333333,-8.158082910400001,-12.614801162200001,-15.114208225263999,8.158082910400001,1
2020-08-01,36,2020,8,0,25.0,0.3086870415999998,0.10289568053333327,-3.8660214224000002,-7.281702704,-9.5072985404,3.8660214224000002,1
2020-09-01,36,2020,9,0,25.0,3.6791456536,1.2263818845333334,5.152110142,2.2890673912,0.3913340483199992,0.0,1
2020-10-01,36,2020,10,0,25.0,-11.436532929999998,-3.812177643333333,-6.252355316799998,-9.664758160599998,-11.996015645176001,6.252355316799998,1
2020-11-01,36,2020,11,0,25.0,-11.080930386,-3.6936434620000003,-2.236193619,-5.7549386736,-7.664249360760001,2.236193619,1
2020-12-01,36,2020,12,0,25.0,-11.086318325,-3.6954394416666667,-1.360820309600001,-4.5715917533,-6.988324483280001,1.360820309600001,1
2021-01-01,36,2021,1,0,25.0,-0.8800528324000001,-0.29335094413333335,8.1065773166,4.6886243771,2.327268434839999,0.0,1
2021-02-01,36,2021,2,0,25.0,-4.0181367972,-1.3393789324,2.5393903283999997,-0.2112483540000003,-1.7392044078000017,0.0,1
2021-03-01,36,2021,3,0,25.0,0.6450652880000001,0.2150217626666667,4.636566738799999,2.1017235572,-0.044399122000000624,0.0,1
2021-04-01,36,2021,4,0,25.0,2.5062156535999995,0.8354052178666665,2.2367762767999992,-0.05262879460000036,-2.7361350619840024,0.0,1
2021-05-01,36,2021,5,0,25.0,7.7459108104,2.581970270133333,4.953896995600001,1.7437393839999995,-0.7557016682719997,0.0,1
2021-06-01,36,2021,6,0,25.0,15.2987341736,5.099578057866666,11.419969922,6.9696424615999995,3.4514693347999987,0.0,1
2021-07-01,36,2021,7,0,25.0,7.1535484471999995,2.3845161490666666,0.04026252559999932,-4.4164557262000015,-6.915862789264,0.0,1
2021-08-01,36,2021,8,0,25.0,10.102102042399999,3.3673673474666663,5.9273935783999985,2.511712296799999,0.28611646039999705,0.0,1
2021-09-01,36,2021,9,0,25.0,-7.2219202944,-2.4073067648,-5.748955806000001,-8.6119985568,-10.509731899680002,5.748955806000001,1
2021-10-01,36,2021,10,0,25.0,-10.6453838952,-3.5484612984,-5.461206282,-8.8736091258,-11.204866610376001,5.461206282,1
2021-11-01,36,2021,11,0,25.0,-13.021441500399998,-4.340480500133332,-4.176704733399998,-7.695449787999998,-9.604760475159999,4.176704733399998,1
2021-12-01,36,2021,12,0,25.0,-9.8459927436,-3.2819975812,-0.12049472820000062,-3.3312661718999994,-5.747998901880001,0.12049472820000062,1
2022-01-01,36,2022,1,0,25.0,-9.0745539256,-3.0248513085333335,-0.08792377660000028,-3.5058767160999995,-5.867232658360001,0.08792377660000028,1
2022-02-01,36,2022,2,0,25.0,-8.762251502,-2.9207505006666667,-2.2047243763999997,-4.9553630588,-6.483319112600001,2.2047243763999997,1
2022-03-01,36,2022,3,0,25.0,1.4228404590400001,0.47428015301333337,5.414341909839999,2.87949872824,0.7333760490399994,0.0,1
2022-04-01,36,2022,4,0,25.0,-4.9395052144000005,-1.6465017381333336,-5.208944591200001,-7.498349662600001,-10.181855929984003,5.208944591200001,1
2022-05-01,36,2022,5,0,25.0,5.5093122160000005,1.8364374053333334,2.717298401200001,-0.4928592103999998,-2.992300262671999,0.0,1
2022-06-01,36,2022,6,0,25.0,-1.9206171759999995,-0.6402057253333332,-5.7993814276,-10.249708888,-13.767882014800001,5.7993814276,1
2022-07-01,36,2022,7,0,25.0,3.4982116112000003,1.1660705370666669,-3.6150743104,-8.0717925622,-10.571199625263999,3.6150743104,1
2022-08-01,36,2022,8,0,25.0,-0.2331797487999996,-0.07772658293333319,-4.4078882128,-7.823569494399999,-10.049165330800001,4.4078882128,1
2022-09-01,36,2022,9,0,25.0,-2.7285404632000008,-0.9095134877333336,-1.255575974800001,-4.118618725600001,-6.016352068480002,1.255575974800001,1
2022-10-01,36,2022,10,0,25.0,-0.6028503496,-0.2009501165333333,4.5813272636,1.1689244198,-1.162333064776002,0.0,1
2022-11-01,36,2022,11,0,25.0,-5.7963144576,-1.9321048192,3.0484223094000003,-0.47032274519999984,-2.379633432360001,0.0,1
2022-12-01,36,2022,12,0,25.0,-7.7627850696,-2.5875950232,1.9627129457999999,-1.248058497899999,-3.6647912278800003,0.0,1
2023-01-01,36,2023,1,0,25.0,-6.121259478000001,-2.0404198260000004,2.865370670999999,-0.5525822685000001,-2.913938210760002,0.0,1
2023-02-01,36,2023,2,0,25.0,-7.1876722208,-2.3958907402666667,-0.6301450951999996,-3.3807837775999996,-4.908739831400001,0.6301450951999996,1
2023-03-01,36,2023,3,0,25.0,-4.1080004292,-1.3693334763999998,-0.11649897840000012,-2.6513421599999996,-4.7974648392,0.11649897840000012,1
2023-04-01,36,2023,4,0,25.0,6.097855899040001,2.0326186330133336,5.82841652224,3.539011450840001,0.8555051834559988,0.0,1
2023-05-01,36,2023,5,0,25.0,-1.010055017600001,-0.336685005866667,-3.8020688324000003,-7.012226444000001,-9.511667496272,3.8020688324000003,1
2023-06-01,36,2023,6,0,25.0,1.9905986824,0.6635328941333333,-1.8881655692000003,-6.3384930296,-9.856666156400001,1.8881655692000003,1
2023-07-01,36,2023,7,0,25.0,14.06797224672,4.68932408224,6.95468632512,2.497968073319999,-0.0014389897439990307,0.0,1
2023-08-01,36,2023,8,0,25.0,9.21687842672,3.0722928089066666,5.042169962719999,1.6264886811199997,-0.5991071552800022,0.0,1
2023-09-01,36,2023,9,0,25.0,-2.5980257608000006,-0.8660085869333335,-1.1250612724000009,-3.9881040232000005,-5.885837366080001,1.1250612724000009,1
2023-10-01,36,2023,10,0,25.0,-4.2171539592,-1.4057179864,0.9670236540000001,-2.4453791898,-4.776636674376002,0.0,1
2023-11-01,36,2023,11,0,25.0,-12.2203005752,-4.073433525066666,-3.375563808199999,-6.894308862799999,-8.80361954996,3.375563808199999,1
2023-12-01,36,2023,12,0,25.0,-12.948355902,-4.3161186339999995,-3.2228578866,-6.433629330299999,-8.85036206028,3.2228578866,1
2024-01-01,36,2024,1,0,25.0,-4.008949488,-1.336316496,4.977680661,1.5597277215000007,-0.801628220760001,0.0,1
2024-02-01,36,2024,2,0,25.0,-5.1492309736,-1.7164103245333333,1.4082961520000001,-1.3423425303999998,-2.8702985842000013,0.0,1
2024-03-01,36,2024,3,0,25.0,-8.7530771288,-2.9176923762666664,-4.761575678,-7.296418859599999,-9.4425415388,4.761575678,1
2024-04-01,36,2024,4,0,25.0,-0.9665595479999998,-0.3221865159999999,-1.2359989248,-3.5254039961999997,-6.208910263584002,1.2359989248,1
2024-05-01,36,2024,5,0,25.0,-2.3089793704000003,-0.7696597901333334,-5.1009931852,-8.3111507968,-10.810591849072,5.1009931852,1
2024-06-01,36,2024,6,0,25.0,-18.344477356,-6.114825785333333,-22.2232416076,-26.673569068,-30.1917421948,22.2232416076,1
2024-07-01,36,2024,7,0,25.0,3.226280064,1.075426688,-3.8870058576,-8.3437241094,-10.843131172463998,3.8870058576,1
2024-08-01,36,2024,8,0,25.0,1.2636174568000003,0.4212058189333334,-2.9110910071999996,-6.326772288799999,-8.552368125200001,2.9110910071999996,1
2024-09-01,36,2024,9,0,25.0,0.7013014095999999,0.23376713653333328,2.174265898,-0.6887768528,-2.5865101956800007,0.0,1
2024-10-01,36,2024,10,0,25.0,-7.05661766,-2.3522058866666664,-1.8724400467999995,-5.2848428906,-7.616100375176002,1.8724400467999995,1
2024-11-01,36,2024,11,0,25.0,-4.7087555268,-1.5695851756,4.1359812402000005,0.6172361856000004,-1.2920745015600006,0.0,1
2024-12-01,36,2024,12,0,25.0,-3.3922124003999996,-1.1307374667999999,6.333285614999999,3.122514171300001,0.7057814413199996,0.0,1
2025-01-01,36,2025,1,0,25.0,-14.0480174152,-4.6826724717333335,-5.061387266200001,-8.4793402057,-10.840696147960001,5.061387266200001,1
